step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252415,0.22654468566179276,0.0,0.00018236307076194974,0.0005404490691964999,0.003288488035672523
2,training,0.047864057,0.11285063624382019,0.0,0.007746412052245787,0.0005714302294002291,0.00347980169406567
3,training,0.018536482,0.06497403979301458,0.0,0.042569965159311,0.0008333738810424937,0.019232507358950393
4,training,0.0019032196,0.039483487606048584,0.0,0.0819526496522337,0.0024448509466606693,0.06774958275685254
5,training,0.0022163722,0.061886996030807495,0.0,0.12122979044359738,0.0063132098421432095,0.13276206819350933
6,training,0.013751521,0.18298491835594177,0.0,0.1599387131265323,0.012943605197579233,0.2095081451704614
7,training,0.029868398,0.3181735724210739,0.05402237663814688,0.1981042560833702,0.022781523645997125,0.29698728679198383
8,training,0.04561213,0.31668721139431,0.05402237663814688,0.23482988539037786,0.03585755082176221,0.3876606028923962
9,training,0.046882305,0.2632799297571182,0.05402237663814688,0.2704599902752299,0.05233577979248435,0.47838525773068036
10,training,0.025885418,0.28962041437625885,0.0797773583097844,0.30451214325440745,0.07188258701796083,0.5619929100853186
11,training,0.026354833,0.09508112072944641,0.0797773583097844,0.35224531969556544,0.10604714836518946,0.6777421884372185
12,training,0.027549904,0.016974218189716332,0.0797773583097844,0.3824010523829614,0.13165428428291612,0.7241212824595803
13,training,0.04194744,0.2760126078501344,0.1283484805511035,0.39729071836273483,0.14501915633991444,0.7361177211603254
14,training,0.056938138,0.2754427064210176,0.1283484805511035,0.42629878961481465,0.1714968756077279,0.7336064846950732
15,training,0.03982546,0.3285245727747679,0.1283484805511035,0.45693552496727646,0.197722452148294,0.6814643132058106
16,training,0.044975273,0.324928767979145,0.1283484805511035,0.4891258891654127,0.2223588626827216,0.6227326295661834
17,training,0.050316356,0.2572070471942425,0.1283484805511035,0.522621731631726,0.24487532432786896,0.5600628754870507
18,training,0.026826408,0.23467281647026536,0.1283484805511035,0.5574314157851992,0.26531573576590994,0.5057486623775458
19,training,0.04828855,0.22718247398734093,0.18340750826590344,0.5930746389086842,0.2840589437694078,0.4633320318898685
20,training,0.050219867,0.16828929260373113,0.18340750826590344,0.6295414746114764,0.3013615357265647,0.42248848810147627
21,training,0.039048143,0.14394709281623363,0.18340750826590344,0.666324057763923,0.31716936127417084,0.39168304917050445
22,training,0.0312483,0.12769615184515715,0.18340750826590344,0.7037621452396424,0.3320764335601028,0.36642032120011986
23,training,0.034620382,0.1150159928947687,0.18340750826590344,0.7414058447776101,0.3460124846657683,0.34354337030210685
24,training,0.028837303,0.053077805787324905,0.18340750826590344,0.7792909000973819,0.359091689472739,0.32120445303993017
25,training,0.024935922,0.03256558999419213,0.16723405008208997,0.8175917521071409,0.3714248380123395,0.30476743479842694
26,training,0.03260041,0.028553016483783708,0.16723405008208997,0.8557221442665803,0.3832125180846609,0.29445261971196374
27,training,0.024696955,0.03770397789776325,0.16723405008208997,0.8941822916529135,0.3946420573079265,0.2823436727393478
28,training,0.022173174,0.015473771374672651,0.16723405008208997,0.9326767401327775,0.4056120919338308,0.27536645533659126
29,training,0.015309682,0.027873466722667214,0.16723405008208997,0.9903874299813263,0.4218058374405551,0.27188180817699825
30,training,0.006935484,0.034876833204179995,0.16723405008208997,1.0289335950367837,0.4324798568011085,0.26848245695163653
31,training,0.010290434,0.02433288097381591,0.11669029233601638,1.0674414276014603,0.4429700650689593,0.2625338786028479
32,training,0.007883761,0.00042308121919631264,0.11669029233601638,1.1062415592373698,0.4532231504830903,0.25343065337531
33,training,0.012164485,0.008144672960042953,0.11669029233601638,1.1449417324001834,0.46309843445501436,0.24565682935726746
34,training,0.010836389,0.04251185990869999,0.11669029233601638,1.2033363149728022,0.47729752470059184,0.23140680674182368
35,training,0.0073430417,0.13009976595640182,0.11669029233601638,1.261706901407547,0.4908176334268029,0.22356139193084748
36,training,0.0041398257,0.0707070454955101,0.07337928455197022,1.300874961629779,0.49947343809523037,0.2113773142378232
37,training,0.008067402,0.05043152719736099,0.07337928455197022,1.3399951037705031,0.5077051829370764,0.2039330879301358
38,training,0.0021573873,0.06229532137513161,0.07337928455197022,1.398893829499526,0.5194929696202965,0.19069072640071758
39,training,0.0018540702,0.08013763464987278,0.07337928455197022,1.4381567526079626,0.5269411043792566,0.18378374671197095
40,training,0.004436626,0.10738582536578178,0.07337928455197022,1.4775468692594793,0.5341060519837861,0.1761647331400047
41,training,0.008612918,0.09198977053165436,0.015976532498938417,1.5169054494779999,0.5409806206774262,0.16945766188759567
42,training,0.0012123891,0.08589047566056252,0.015976532498938417,1.556345399021929,0.5476077572756635,0.16765098033430187
43,training,0.0014278283,0.07799766585230827,0.015976532498938417,1.5956792575409644,0.5544329244479965,0.17572046853624257
44,training,0.0029869638,0.055763909593224525,0.015976532498938417,1.6348557343515373,0.5615556255054102,0.18249705926823648
45,training,0.0035098211,0.09365481650456786,0.015976532498938417,1.6545418302115265,0.5652011443697647,0.18196424289312613
46,training,0.0011783972,0.09979498246684669,0.015976532498938417,1.6939086461661625,0.5723414357814987,0.17760886834134867
47,training,0.00080072007,0.08871689345687626,0.015976532498938417,1.7331727582369494,0.5793986999909262,0.17829209201775154
48,training,0.0054231077,0.0321965217590332,0.03334043304553708,1.7725379216371167,0.5864946096674708,0.17691490998733542
49,training,0.0012997169,0.00031137466430662675,0.03334043304553708,1.7922761396604026,0.5899810120830916,0.17089147237239363
50,training,0.004371195,0.008588880300521864,0.03334043304553708,1.8317115591326592,0.5964360210330207,0.1525263759661257
51,training,0.00235744,0.010077320039272308,0.03334043304553708,1.871562781051029,0.6021115654220813,0.12930125914513327
52,training,0.0040603695,0.02873402088880539,0.03334043304553708,1.91135421910914,0.6067820174794536,0.10496679907856174
53,training,0.0025363797,0.034807898104190826,0.03334043304553708,1.9513160235890683,0.6105364768461677,0.08222340470344174
54,training,0.0065524196,0.03257054835557938,0.02202302073244314,1.9915145672128862,0.6133862796403597,0.059518360056893246
55,training,0.0053848936,0.0574473887681961,0.02202302073244314,2.0313774804660807,0.6153778087993229,0.04096004021754892
56,training,0.0073690913,0.07775565050542355,0.02202302073244314,2.0716183262394896,0.6166266772013036,0.020175516789081832
57,training,0.00093777257,0.06055095233023167,0.02202302073244314,2.1117416331606575,0.617004565928316,-0.0007793560070938116
58,training,0.0054698833,0.09091992676258087,0.02202302073244314,2.1517714626774613,0.6166238879859985,-0.017608381364647444
59,training,0.00060513825,0.12443363666534424,0.024892537660309584,2.1920355518847634,0.6155786816889813,-0.03460020520549821
60,training,0.0026279602,0.13823972176760435,0.024892537660309584,2.2319834962091103,0.6138288722556065,-0.05528378036703952
61,training,0.0058186,0.13520951941609383,0.024892537660309584,2.272130970209044,0.6111033692790293,-0.08064059457112673
62,training,0.0040159132,0.10957305505871774,0.024892537660309584,2.3121260122480725,0.6074469052221758,-0.09997438292927001
63,training,0.005197857,0.1356981098651886,0.024892537660309584,2.3318770796924904,0.605382323249101,-0.10825487977546239
64,training,0.0024083029,0.16284668818116188,0.024892537660309584,2.391595226049686,0.598575647935283,-0.11879036775166407
65,training,0.004208645,0.13033070042729378,0.04695633795283549,2.4312107694243252,0.5937205516953652,-0.12630101806248967
66,training,0.000859319,0.1687837578356266,0.04695633795283549,2.4510287738956476,0.5911644888912665,-0.13037173471882244
67,training,0.0007031107,0.1774694537743926,0.04695633795283549,2.4907568133034688,0.5858274854841975,-0.13546252369152012
68,training,0.0040958948,0.17181929387152198,0.04695633795283549,2.530317026186067,0.5804372993300777,-0.13542849884762206
69,training,0.0015679358,0.1729959174990654,0.04695633795283549,2.569837997179523,0.5751023394820325,-0.13211094998341277
70,training,0.0026523173,0.1690208092331886,0.04695633795283549,2.609487360035343,0.5699720570297091,-0.12451036939100356
71,training,0.0025441924,0.1481682099401951,0.04695633795283549,2.648982276716273,0.5652213188114288,-0.11572538365617284
72,training,0.001137219,0.14527948945760727,0.066644227684037,2.668817918805905,0.5629585711971256,-0.1108384834016406
73,training,0.001918414,0.13952374458312988,0.066644227684037,2.7086013845105863,0.5587620992392243,-0.09865371315395456
74,training,0.004040426,0.11775809526443481,0.066644227684037,2.748134288333534,0.5551254816277066,-0.08547307055187989
75,training,0.0029135707,0.08785282075405121,0.066644227684037,2.787952024995284,0.5519994482488881,-0.07025399969360673
76,training,0.003423609,0.053283482789993286,0.066644227684037,2.827772079182945,0.5495720928176789,-0.050721638289566676
77,training,0.0066527775,0.010612621903419495,0.066644227684037,2.867424975446134,0.5479912008538109,-0.027940026688584495
78,training,0.003939684,0.027464091777801514,0.08771826558184058,2.907367887213365,0.5474086283109616,0.0010095745450384164
79,training,0.0037363544,0.09422568976879118,0.08771826558184058,2.9667940260351653,0.5489663659522019,0.0532402238720168
80,training,0.0026646827,0.09451529383659363,0.08771826558184058,3.006503910968083,0.5518124598350309,0.08997270697387198
81,training,0.0038480633,0.06653559021651745,0.08771826558184058,3.0460180720830126,0.5559666066168315,0.11819780477859938
82,training,0.0028514431,0.016181081533432007,0.08771826558184058,3.085468806553421,0.5611041021143268,0.13927765515977492
83,training,0.0006407761,0.06723025068640709,0.08033681700224703,3.124945086803139,0.5669959125816844,0.15636611167899522
84,training,0.003633605,0.09002609550952911,0.08033681700224703,3.164189462325255,0.5735603670045877,0.17636850734913326
85,training,0.0038411282,0.09499611705541611,0.08033681700224703,3.2033413667764865,0.5809665601119026,0.1963585995539442
86,training,0.0009782651,0.12458577379584311,0.08033681700224703,3.242430811900354,0.5890169579582816,0.208256169271518
87,training,0.00310832,0.15538907051086426,0.08033681700224703,3.3008161850270055,0.6018768881015167,0.22429095277940692
88,training,0.0030429529,0.16388585045933723,0.08033681700224703,3.3202247341553908,0.6063593970997645,0.22952858745204488
89,training,0.002426877,0.165932048112154,0.04263318191636104,3.35911373632664,0.6156493259953794,0.23937596716017132
90,training,0.0022254349,0.1635193396359682,0.04263318191636104,3.397747789380567,0.6253058037621814,0.24902664446326522
91,training,0.0013632479,0.1544856778346002,0.04263318191636104,3.4170565051776354,0.6302479084648008,0.2513200076261267
92,training,0.0030092436,0.15455393493175507,0.04263318191636104,3.4558350420830255,0.6402522624703324,0.2527472885244156
93,training,0.00319887,0.15036338567733765,0.04263318191636104,3.4944565332198834,0.650254940783595,0.2523643575512624
94,training,0.00070806674,0.15293617919087407,0.04263318191636104,3.5331753659924963,0.6601436524551308,0.2467826158587602
95,training,0.0036513412,0.14960940927267075,0.04263318191636104,3.5719998429274424,0.6697971301171556,0.24072900551211845
96,training,0.004962262,0.17459072172641754,0.04727053360129643,3.6108776260397426,0.6791967874474096,0.23222943708850216
97,training,0.0012482902,0.15333428978919983,0.04727053360129643,3.6694789857782344,0.6924914217200033,0.21380182973751025
98,training,0.0055945218,0.09705390036106107,0.04727053360129643,3.6890892157985355,0.696670742728565,0.2062324057255644
99,training,0.0030740988,0.1199752688407898,0.04727053360129643,3.7284172612010327,0.7045365487129468,0.18685347840951455
100,training,0.01183011,0.0765518397092819,0.04727053360129643,3.7678236090025976,0.7115485356650032,0.16484734202654538
101,training,0.0020025412,0.01374991238117218,0.04727053360129643,3.807599529646222,0.7176639251924667,0.13862948273571676
102,training,0.0031025838,0.036914825439453125,0.10464516891288629,3.8475140006119535,0.7225973921968737,0.1065917777035975
