step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.303783655166626,0.0,0.00018250069756153148,0.0005408519521062609,0.0032909911039817603
2,training,0.07548155,0.2750303130596876,0.0,0.005706875765136058,0.0005650213591107896,0.003440278387224111
3,training,0.055829175,0.22882202267646795,0.0,0.03943333857521424,0.0007134316552661974,0.007934020945250558
4,training,0.04385507,0.23381982743740082,0.0,0.07914925478524183,0.0013076024316547705,0.02399420491245296
5,training,0.030201223,0.18194563686847687,0.0,0.11896033007693448,0.0027103661928706674,0.04825661557689409
6,training,0.024939734,0.2087094485759735,0.0,0.15863623515214811,0.005189952778610845,0.07816587424773748
7,training,0.012984995,0.14325904846191406,0.0,0.19801578681827575,0.009027729902849179,0.1185537228121486
8,training,0,0.035454317927360535,0.01796081009373312,0.23718834632713404,0.01460736197919199,0.165075021295832
9,training,0.0067795618,0.09620429575443268,0.01796081009373312,0.27611478925919536,0.022045073144689977,0.21273438646078924
10,training,0,0.01786467432975769,0.01796081009373312,0.31444854947315715,0.03139068511553292,0.26726211926623944
11,training,0.002393774,0.08734975755214688,0.01796081009373312,0.3521449506866027,0.04284915097774646,0.3224449790341535
12,training,0.0038641167,0.1137928515672684,0.05167725407224381,0.3893985286093327,0.05647391195799606,0.3810457946833967
13,training,0.013449995,0.2427036464214325,0.05167725407224381,0.4254724146290557,0.0722617521678696,0.44645111104719376
14,training,0.024545303,0.2858850583434105,0.05167725407224381,0.4603186401650327,0.09050233632182692,0.5198761030784684
15,training,0.022264859,0.3360520415008068,0.05615516540605378,0.49365951003326,0.11128318111733959,0.5956324214600895
16,training,0.063436516,0.28173575922846794,0.05615516540605378,0.5254356321882144,0.1346533174058114,0.6728192068535352
17,training,0.024627319,0.2146635465323925,0.05615516540605378,0.5551169079463865,0.1601748800751454,0.7446148221580416
18,training,0.029051663,0.20814600284211338,0.024038288855336723,0.5833374614892045,0.18784328202345196,0.8032809215055057
19,training,0.023874871,0.23184102773666382,0.024038288855336723,0.6101893420907148,0.21701002051720042,0.8470331811998798
20,training,0.02400976,0.2347622737288475,0.024038288855336723,0.6358803610406072,0.2471617170577218,0.8805779528964152
21,training,0.027377952,0.2831004336476326,0.024038288855336723,0.6608071155942364,0.27810208530212527,0.9019164441428361
22,training,0.053741783,0.32683655619621277,0.024038288855336723,0.6852839402497259,0.3096161728452948,0.9185924422084734
23,training,0.02946307,0.31193145364522934,0.024038288855336723,0.7091624286755576,0.34147992105545744,0.9362272780789651
24,training,0.03736633,0.3267463743686676,0.024038288855336723,0.7325132788226123,0.373679191820444,0.9500325988982063
25,training,0.048565395,0.319383941590786,0.09624829668880952,0.7555250383285056,0.4063363155535633,0.9642718767513553
26,training,0.04459233,0.3093272000551224,0.09624829668880952,0.7779504334172507,0.43918194470092065,0.9778509383240422
27,training,0.031069929,0.32093739509582514,0.09624829668880952,0.8000737921550387,0.47242521504659124,0.9894044071328866
28,training,0.054751735,0.3065679892897606,0.09624829668880952,0.8218042213835113,0.5059497558027886,1.0022420303854727
29,training,0.060991038,0.32258665561676025,0.09624829668880952,0.8430120135136189,0.5395619029112649,1.013267975725479
30,training,0.05091226,0.3203432895243168,0.09624829668880952,0.8640264483960476,0.5736621996506411,1.0242083045305528
31,training,0.04396677,0.3163949400186539,0.2171461484867492,0.8845105528231323,0.6077850121590938,1.0352687697341671
32,training,0.08208951,0.5845140516757966,0.2171461484867492,0.9050366890013797,0.6422120824848822,1.0152289636331957
33,training,0.037694756,0.7491853795945645,0.2171461484867492,0.9270077288888359,0.6753785685829388,0.9442816369640675
34,training,0.18098933,0.73536142334342,0.2171461484867492,0.9530570642849372,0.7075283943798679,0.8284442374174088
35,training,0.046840075,0.6539641302078963,0.2917241300596088,0.9828827673575525,0.7357911937864177,0.6872137378496636
36,training,0.092037976,0.6186831016093493,0.2917241300596088,1.0163596020172394,0.7596482414855559,0.5538837451102677
37,training,0.19476871,0.5017525907605886,0.31096422303793186,1.052398088410946,0.7790187194880921,0.43306748660641
38,training,0.10287006,0.41918196249753237,0.31096422303793186,1.0905923964061235,0.7940686093476088,0.32160453040588743
39,training,0.112709165,0.33803467836696655,0.3106547766984467,1.129413566117245,0.805080133391242,0.23287895193405755
40,training,0.15104195,0.2420571492984891,0.3106547766984467,1.1892551015593043,0.815636082329691,0.12182431662983567
41,training,0.042859197,0.2136842850595713,0.3106547766984467,1.2295929803814063,0.8194872757674558,0.06981026758620192
42,training,0.05178824,0.13189415261149406,0.27778242214017046,1.269904469222422,0.821328821572664,0.021644058685872897
43,training,0.020418623,0.17121085152029994,0.27778242214017046,1.3101058066913245,0.8213965688025298,-0.015693094362136586
