step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.303783655166626,0.0,0.00018296863876529103,0.000542221795109564,0.0032995018035643004
2,training,0.084314875,0.29067517910152674,0.0,0.0043213270610318105,0.0005618082840685337,0.0034205163151645973
3,training,0.0732909,0.26157205924391747,0.0,0.03649665819502702,0.0006899434459355921,0.005390208418475572
4,training,0.070401385,0.30331619083881384,0.0,0.07630736292353692,0.0010271250104771797,0.01270120687498562
5,training,0.062585786,0.27055734395980835,0.0,0.11622481913172453,0.001748601960959567,0.024304551664554197
6,training,0.052497566,0.2494798228144645,0.0,0.15620303927317533,0.0029904702416235257,0.039151542009690246
7,training,0.04952567,0.2510383650660515,0.0,0.1958440746889636,0.004920875161650763,0.05917142981155306
8,training,0.04128511,0.2482774704694748,0.03334841001267725,0.23565560227357346,0.007742920383931192,0.08346792697432946
9,training,0.03369724,0.17789143323898315,0.03334841001267725,0.27522618808020355,0.011581556717179019,0.11114505231168764
10,training,0.022494515,0.1218312531709671,0.03334841001267725,0.31456087496877766,0.016634578103679448,0.14561223674451487
11,training,0.0166011,0.14955960214138025,0.03334841001267725,0.35369226906318857,0.023130749974241364,0.18392123108866906
12,training,0.010018408,0.07422256469726568,0.03334841001267725,0.392483743217403,0.03118635152709181,0.22767931154708554
13,training,0,0.030341967940330505,0.03334841001267725,0.4307122454582238,0.04103747564492961,0.2772483341091557
14,training,0,0.0059304833412170965,0.10106568294110535,0.46847713885234976,0.05280155062610966,0.32663845715647183
15,training,0.005201533,0.08944383263587952,0.10106568294110535,0.5058369687005647,0.06646839496451372,0.3770198438295541
16,training,0.0038948024,0.06507265567779538,0.10106568294110535,0.5419149610271315,0.08171023207175925,0.4162322965560833
17,training,0.003524979,0.17244763672351837,0.10106568294110535,0.5780006513348638,0.09843014099853976,0.45405680583595165
18,training,0.0074267704,0.13208076357841494,0.10106568294110535,0.6134284062004184,0.11647906818707433,0.4840418508210514
19,training,0.010668712,0.25130999833345413,0.10106568294110535,0.6653750047424157,0.14545842204668033,0.5366319785864877
20,training,0.014669804,0.23162661492824554,0.10726313246707204,0.6992507800545164,0.16630441393672624,0.5610075532386954
21,training,0.026647052,0.30652254074811935,0.10726313246707204,0.7327595193831851,0.18790555358051753,0.5865009258434488
22,training,0.056509186,0.23927833139896393,0.10726313246707204,0.7658521150599994,0.21033854051869655,0.6015585749450671
23,training,0.024337567,0.29932501912117004,0.10726313246707204,0.7985671965996897,0.23325000059266246,0.6208211732238318
24,training,0.0379003,0.3446965292096138,0.10726313246707204,0.8306030515445121,0.2564571058795059,0.6291800407684295
25,training,0.05467754,0.22481884760782123,0.10726313246707204,0.8630527326272447,0.2798871348786627,0.6180253326335908
26,training,0.038086053,0.21732871234416962,0.10726313246707204,0.8957496607343262,0.3029876976945196,0.6146473786994426
27,training,0.03355969,0.1977214589715004,0.07218609201934857,0.9120765412419907,0.314496706203115,0.6118534991934101
28,training,0.033301942,0.18792878091335297,0.07218609201934857,0.9615880261871013,0.3485238218760965,0.590855504905447
29,training,0.04398576,0.13690031319856644,0.07218609201934857,0.9949840516423695,0.370556895033071,0.5744137298042264
30,training,0.03793447,0.16002969071269035,0.07218609201934857,1.0287013387602966,0.39199877819836565,0.5590316613695713
31,training,0.06977354,0.18307653442025185,0.07218609201934857,1.0628546652679862,0.41295626506961297,0.5408647820109339
32,training,0.040128678,0.18621539697051048,0.07218609201934857,1.097543277057059,0.4332765715794758,0.5176096023487771
33,training,0.026461463,0.18117913231253627,0.046945254545333714,1.1327090374596445,0.45266645012921275,0.49011472319501015
34,training,0.03223981,0.1891916990280151,0.046945254545333714,1.168032957298508,0.4714204143883938,0.49244945536141527
35,training,0.051142078,0.18139584362506864,0.046945254545333714,1.2031478510107696,0.49049152066961693,0.5020319652449768
36,training,0.044025,0.1874523162841797,0.046945254545333714,1.2379876756877317,0.5098150851949639,0.5107560559632561
37,training,0.028094588,0.20798552408814427,0.046945254545333714,1.2727368412898747,0.5294931570884689,0.5195461879083307
38,training,0.053090088,0.25583546981215477,0.046945254545333714,1.307337488477217,0.5494201552995683,0.5250673835539105
39,training,0.041586593,0.27342477068305016,0.03446023218378961,1.3245464789049526,0.5594329961288755,0.528414994361463
40,training,0.034743875,0.3152059931308031,0.03446023218378961,1.3589527500956664,0.5796859247957821,0.5355218268772538
41,training,0.042953618,0.32655227556824684,0.03446023218378961,1.410343469885595,0.6104398607243102,0.5427954087153667
42,training,0.048061714,0.3088329900056124,0.03446023218378961,1.4444148506357515,0.6311626850081596,0.549952966115287
43,training,0.04218552,0.31979360431432724,0.03446023218378961,1.478380269206145,0.6521076342515145,0.5544729470280099
44,training,0.045214526,0.325891038402915,0.03446023218378961,1.5122527452254686,0.6732142373620366,0.5603527080244085
45,training,0.042949352,0.3141652308404446,0.02623378408397054,1.5459626109919538,0.694533150045662,0.5665291127205162
46,training,0.037784353,0.32703092508018017,0.02623378408397054,1.5796319466161992,0.7160607406447701,0.5712708877696941
47,training,0.04434792,0.3156564384698868,0.02623378408397054,1.5963766206212695,0.7268667320655746,0.5747064796500032
48,training,0.049242035,0.31572098284959793,0.02623378408397054,1.629774255970775,0.7486662899804987,0.5807073839012112
49,training,0.039117105,0.32502287812530994,0.02623378408397054,1.6797837548074395,0.7816934287677965,0.5868340804970139
50,training,0.040314697,0.31119051575660706,0.02623378408397054,1.7129232776204446,0.8038736344966624,0.591803820343199
51,training,0.053048767,0.32782729156315327,0.14135983281342498,1.8940716539355358,0.9278963189257715,0.6091595620396205
52,training,0.045327216,0.3244370315223932,0.14135983281342498,1.927021711480669,0.950751973325452,0.5896860171554873
53,training,0.048708886,0.6263890136033297,0.14135983281342498,1.9613057836666605,0.9722327691814969,0.5293604412109535
54,training,0.05773025,0.5999412238597869,0.29269244761314195,1.9983897951616498,0.9918364764649332,0.4311592699828043
55,training,0.04634014,0.704267761670053,0.29269244761314195,2.0171995153704416,0.9998368624173002,0.3718815568745118
56,training,0.036560513,0.6210408229380846,0.3195214963540889,2.0562227478755744,1.0124088301812881,0.24588770941840038
57,training,0.11855417,0.5230877622961999,0.3195214963540889,2.096582189656955,1.019758397192223,0.11876248594480311
58,training,0.042303346,0.4160660989582539,0.33294707245176536,2.1375209209787123,1.0223489882594232,0.012562724288433627
59,training,0.06964014,0.35370445996522903,0.33294707245176536,2.177862162160889,1.0211080843695692,-0.06973859962062724
60,training,0.051627956,0.332599863409996,0.33294707245176536,2.218129471708717,1.0169854183636642,-0.1315524357280618
61,training,0.048614413,0.27415674924850464,0.3249290593181635,2.2580173250312736,1.0106095663315073,-0.1846319356104049
62,training,0.054978475,0.17353970557451248,0.3249290593181635,2.2975009043082673,1.0022622315832623,-0.23144899954231885
63,training,0.1059507,0.12278228253126146,0.3249290593181635,2.355831032129302,0.9867685559323126,-0.2809627596592756
64,training,0.020025276,0.12260717572644352,0.3249290593181635,2.394411734019058,0.9752022550894018,-0.3009211747003633
65,training,0.06217845,0.0760529488325119,0.3249290593181635,2.432519555593305,0.962910878401748,-0.3235423013839345
