step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.303783655166626,0.0,0.00018269337734611035,0.0005414159974131633,0.0032944954596567004
2,training,0.08212192,0.2871742695569992,0.0,0.0021465417009095887,0.0005510757930187405,0.0033541596613202882
3,training,0.07857229,0.3034879043698311,0.0,0.03046674689987558,0.0006595827699501128,0.004675204274458144
4,training,0.06959526,0.2878236956894397,0.0,0.07032803864566861,0.0010078810080619987,0.014222843200874581
5,training,0.05734004,0.23863884806632996,0.0,0.1101574842915451,0.0018686515888405816,0.029888774785690984
6,training,0.052861407,0.3116137757897377,0.0,0.1501237459936473,0.0034050057338567714,0.048836602977070265
7,training,0.04354279,0.23991006612777716,0.0,0.18973644478459223,0.005805903446220373,0.07335153285243884
8,training,0.033442732,0.16845923662185663,0.022720672265349,0.22939430841493696,0.009299454496202546,0.10366936153108931
9,training,0.02855512,0.22813534736633306,0.022720672265349,0.26877707192772265,0.014063111481959873,0.1381469156671857
10,training,0.01624402,0.08455300331115723,0.022720672265349,0.30791201682575137,0.020306542696432523,0.18028377580517177
11,training,0,0.041332542896270696,0.022720672265349,0.3466059170072698,0.02829958392906389,0.2276827422102188
12,training,0.012972628,0.08296211063861841,0.022720672265349,0.3850400805532173,0.038177091800277986,0.275593367943288
13,training,0,0.04203261435031891,0.07772799285509167,0.4226880919602329,0.04986893884166938,0.32794525267186686
14,training,0.0050342544,0.11636824905872345,0.07772799285509167,0.45967330069837253,0.0635924520550365,0.38267241302328203
15,training,0.0041992846,0.10060371458530426,0.07772799285509167,0.49604846493243426,0.07941441153455199,0.43898418163992853
16,training,0.015654847,0.2486160695552826,0.07772799285509167,0.5482633688206289,0.10690642255454488,0.532925110468211
17,training,0.046434365,0.3158782422542572,0.07777350564611653,0.5814724511808785,0.1279737673898506,0.5983605433347152
18,training,0.03975685,0.3310191258788109,0.07777350564611653,0.6133198785534657,0.15132612228468142,0.6692888552709307
19,training,0.05574336,0.2828800790011883,0.07777350564611653,0.6431874126852904,0.1767898353089328,0.744271103398277
20,training,0.07404847,0.23692531511187553,0.052873769970026,0.6711279698544641,0.20444322681466334,0.8138645107860638
21,training,0.046423383,0.23627668322296813,0.052873769970026,0.7099410713417675,0.24935915367436698,0.8983416121833875
22,training,0.035504777,0.25229769572615623,0.052873769970026,0.7337206384836209,0.28078250716495556,0.9460290908952083
23,training,0.063894,0.2480800598859787,0.0137628074539956,0.7561981290063295,0.31331881916293997,0.983975285828912
24,training,0.034226716,0.2702794447541237,0.0137628074539956,0.7670711800137642,0.3299767502590709,1.0002933132542933
25,training,0.033338845,0.2909344360232353,0.0137628074539956,0.7881699068540154,0.3638300582671574,1.0264854897231566
26,training,0.025046615,0.32034096121788025,0.0137628074539956,0.7983270529581794,0.3808457029419136,1.0371841570117089
27,training,0.04759691,0.3219797685742378,0.0137628074539956,0.8182216344482278,0.415305299378333,1.0567392327509326
28,training,0.050220616,0.31910374760627747,0.0137628074539956,0.8376155621188701,0.45035811414850224,1.0752870046146823
29,training,0.056838132,0.320469431579113,0.0137628074539956,0.856158118997678,0.4854183999691748,1.0926428018888932
30,training,0.03515716,0.32239800691604614,0.1381332138670658,0.8742525483009518,0.5210405889788454,1.10883982764675
31,training,0.050163373,0.5837836563587189,0.1381332138670658,0.8916845237560894,0.5565385712941503,1.1118233092822536
32,training,0.04306934,0.8330260217189789,0.1381332138670658,0.9105107498326779,0.5921189946179463,1.0426906349983727
33,training,0.08839555,0.7624755948781967,0.1381332138670658,0.9326308459928011,0.6258216909829953,0.9260679464473776
34,training,0.09930687,0.6745478026568891,0.22796331721766222,0.9597630935907842,0.6568794673887248,0.7813227854183685
35,training,0.122223236,0.6159003265202045,0.22796331721766222,0.9906278781001092,0.6836288274348591,0.6463465412296214
36,training,0.10272314,0.49090697243809694,0.25560067732112074,1.0246614819482942,0.7061996847537751,0.527194736473437
37,training,0.06938908,0.481663964688778,0.25560067732112074,1.060974807109474,0.7247787143100519,0.42264145722554936
38,training,0.086580485,0.43804685398936277,0.2595950526158338,1.098934635895335,0.7399001740425715,0.3355605534313486
39,training,0.097532734,0.3407488353550434,0.2595950526158338,1.137741409102695,0.7516857293467666,0.25503600814411437
40,training,0.1416755,0.279095571488142,0.2595950526158338,1.177325605100427,0.7605080622999828,0.18782563070929104
41,training,0.059656158,0.24726970866322515,0.23958559837711116,1.2171043373552943,0.7669755096333031,0.13683942062381962
42,training,0.07143224,0.22925479710102079,0.23958559837711116,1.257314052814708,0.7716150881751559,0.09379465426946199
43,training,0.06933616,0.19514688849449158,0.23958559837711116,1.2973448169554647,0.7745705569401888,0.05474250175026426
44,training,0.06580986,0.13058081641793254,0.23958559837711116,1.337580979311553,0.7760645042321493,0.020422227783485503
45,training,0.09329333,0.1307438649237156,0.23958559837711116,1.3778732162624154,0.7763053562712042,-0.004797633808153896
46,training,0.08710942,0.1018315739929676,0.16969277012421266,1.4379483449276431,0.7750963030226734,-0.0362177674836034
47,training,0.122306496,0.11809252435341477,0.16969277012421266,1.478119700357383,0.7732411709207849,-0.054396971418294714
48,training,0.11068293,0.1088320859707892,0.16969277012421266,1.5180587818615965,0.7707180054059476,-0.07365843255679515
49,training,0.06978978,0.09159380366327241,0.16969277012421266,1.5581545867193045,0.7673119053348736,-0.09561511263264323
50,training,0.054124855,0.061913932673633085,0.16969277012421266,1.5980471507971494,0.7631166144108958,-0.11352194707984663
51,training,0.098200805,0.06350075267255306,0.08408046049077833,1.8743400003837454,0.7162266546448404,-0.22058998336157207
52,training,0.08037697,0.12160544469952585,0.08408046049077833,1.9328130296880037,0.7025007342652985,-0.23204261111091967
53,training,0.04706063,0.13713707029819489,0.08408046049077833,1.9910904714773432,0.6893149217116007,-0.21163066553216636
54,training,0.10745834,0.13682423904538155,0.08408046049077833,2.0301222168156543,0.6812419037526463,-0.1966406022996895
55,training,0.09630998,0.13734710961580276,0.08408046049077833,2.088876743772889,0.6702547569065447,-0.17238146555658507
56,training,0.06167476,0.14041713625192642,0.025460778865457986,2.128142209581718,0.6637578441339483,-0.1566643567023064
57,training,0.0887218,0.12189589813351631,0.025460778865457986,2.167684582032045,0.6575738931526742,-0.16026878257939547
58,training,0.09019295,0.14726396277546883,0.025460778865457986,2.226851767157072,0.6475320881507404,-0.1767254029833264
59,training,0.06915031,0.1705784872174263,0.025460778865457986,2.2662509241508877,0.6402407095205684,-0.18956295540697626
60,training,0.07208358,0.1961970031261444,0.025460778865457986,2.3055235801377894,0.6324740629979053,-0.20096186418430362
61,training,0.059983682,0.2356315329670906,0.010251094595160128,2.344705949331384,0.6242392802928749,-0.21426985235409785
62,training,0.018619977,0.22482995688915253,0.010251094595160128,2.364259675179326,0.6199163240270698,-0.22073436119874484
63,training,0.08956514,0.27806703746318817,0.010251094595160128,2.403243427376046,0.6109422360915561,-0.23193724697458656
64,training,0.05021505,0.25457512587308884,0.010251094595160128,2.44221239281272,0.6014952717272842,-0.24482530332104768
