step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228449,0.3037836253643036,0.0,0.0001820144222377312,0.0005394284570889093,0.0032821470892400785
2,training,0.08024855,0.28357034362852573,0.0,0.007178747083898766,0.0005684377408884665,0.003461294343905792
3,training,0.067465425,0.26302405074238777,0.0,0.04228068262978778,0.000722436623753042,0.007382393428199416
4,training,0.060084656,0.277382306754589,0.0,0.08202374623025378,0.0012079024136475852,0.018417528312736197
5,training,0.048224162,0.2290342971682548,0.0,0.12192650233592091,0.00227417646529397,0.036224437253007204
6,training,0.0442283,0.2899718582630158,0.0,0.16177191901552804,0.0041195755622824275,0.05782469686986527
7,training,0.03528152,0.2239348292350769,0.0,0.20130389603349755,0.0069603255143785596,0.0867995658693717
8,training,0.024368683,0.14576958119869232,0.015344639280611692,0.24086344964208262,0.011042685605103648,0.11974825413147674
9,training,0.015854146,0.19491408765316015,0.015344639280611692,0.28020957042198164,0.016517021377563085,0.1579894981271988
10,training,0.010171043,0.09670917689800262,0.015344639280611692,0.31914259455090965,0.023607065073260224,0.2041341122134239
11,training,0,0.012062937021255549,0.015344639280611692,0.3576063888097546,0.03258799380857807,0.25570560735217707
12,training,0,0.0179462730884552,0.015344639280611692,0.39570602272933464,0.043647261766552994,0.3099537278891181
13,training,0.004811341,0.07954002916812897,0.06832762643797304,0.4328246301314179,0.05668656988439759,0.3657201484246328
14,training,0.0038328124,0.1198740154504776,0.06832762643797304,0.4692878483669295,0.07187708939770426,0.42556215278533954
15,training,0.009407755,0.21296464651823044,0.06832762643797304,0.5046990453611798,0.08929232024696812,0.4898554697924463
16,training,0.0152473375,0.23233368992805478,0.06832762643797304,0.5386802188460523,0.10895678621084588,0.5606248206724908
17,training,0.022067247,0.33712930604815483,0.07526510112131055,0.5867106050816673,0.1429379206405634,0.6715989583949347
18,training,0.057019792,0.34148145839571953,0.07526510112131055,0.6166460612254553,0.16869177410030733,0.7503094385160027
19,training,0.054997794,0.2786468416452408,0.07526510112131055,0.6442129394165974,0.19646016933907465,0.8278656143893671
20,training,0.03869785,0.27356378361582756,0.0551047905858088,0.6697487123051425,0.22640568947022136,0.8990949446713211
21,training,0.0148521615,0.2011769087985158,0.0551047905858088,0.7045173080425271,0.2743816967440183,0.9837420633021192
