step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.303783655166626,0.0,0.00018231719546172188,0.0005403147761145604,0.0032876536875114334
2,training,0.08814123,0.2971902987919748,0.0,0.00717909432593815,0.0005693687184199821,0.0034670766176257855
3,training,0.08383694,0.2921960745006799,0.0,0.042319912242806415,0.0007082371626078582,0.005089978784042893
4,training,0.0839812,0.3194881565868854,0.0,0.0821189425722731,0.0009830008106141987,0.009190827242803519
5,training,0.080310896,0.3030032366514206,0.0,0.12212650971193117,0.001468794728973804,0.01578540904407755
6,training,0.07935245,0.3040611706674099,0.0,0.16208354814692724,0.0022415511744805438,0.023545249804878193
7,training,0.072736226,0.3194645941257476,0.0,0.2018538896381701,0.0034006686464779965,0.03519122042718897
8,training,0.066324055,0.23999775946140284,0.018671344241187212,0.24188007381364143,0.0050583861195877535,0.049026131776771446
9,training,0.06251375,0.2695637494325638,0.018671344241187212,0.2816066372752652,0.007307096658967038,0.06490827249494123
10,training,0.052957505,0.26125460863113403,0.018671344241187212,0.32132185017932097,0.010285089081837789,0.08526568267439681
11,training,0.04807568,0.2106065228581428,0.018671344241187212,0.36107353949267673,0.014094850511123861,0.10618951312311434
12,training,0.042709928,0.21625623106956487,0.018671344241187212,0.4004505250586718,0.018774529585643004,0.1310781425964705
13,training,0.03358738,0.23700383305549627,0.018671344241187212,0.4398597388336654,0.024527629343946186,0.15938247125510502
14,training,0.030311003,0.1884748786687851,0.04492923152078715,0.47903986108072516,0.03139020687940542,0.18791132693840026
15,training,0.02257256,0.08808276057243347,0.04492923152078715,0.5371483406511789,0.04399169572848997,0.2397353891823823
16,training,0.02057093,0.1372660994529724,0.04492923152078715,0.5563450888952038,0.04886564336884566,0.2581762098345468
17,training,0,0.012570291757583618,0.04492923152078715,0.594590298613544,0.05978976263000431,0.29974154624450494
18,training,0,0.029222920536994934,0.04492923152078715,0.632086226580967,0.0723050954870163,0.3438912229659426
19,training,0.013723165,0.07243281602859497,0.04492923152078715,0.6690854995087612,0.08643735364086272,0.3856525876025853
20,training,0.007877895,0.0970598757266998,0.06962261004785594,0.7056406053406812,0.10218621307407634,0.42906763123728336
21,training,0.0053547416,0.1680625081062317,0.06962261004785594,0.7585632893441308,0.12871575705239796,0.502280110159445
22,training,0.015286275,0.25560810416936874,0.06962261004785594,0.7926672954222214,0.14866959495633025,0.5562709973080733
23,training,0.016834129,0.37431700527668,0.06962261004785594,0.8092779369446331,0.1593601769268063,0.5885106582247481
24,training,0.09436514,0.3306182734668255,0.04304378806067682,0.8565679686978962,0.19454921319459154,0.6913879704188644
25,training,0.11464538,0.29426370188593864,0.04304378806067682,0.8860293359432322,0.2206670471837523,0.759352878893865
26,training,0.024503207,0.24448440596461296,0.04304378806067682,0.9139313670925622,0.24875828751100001,0.8176180767608313
27,training,0.03257907,0.25730321928858757,0.04304378806067682,0.939981130774993,0.2781112137237681,0.8708132907430763
28,training,0.032036655,0.25644582509994507,0.015903286187054017,0.964816194984646,0.3089310696112937,0.9130600871409744
29,training,0.06981387,0.28172430396080017,0.015903286187054017,0.9767906273817872,0.32472249402654,0.9305075553341967
30,training,0.035777684,0.32937097549438477,0.015903286187054017,1.0000301442343764,0.35703502094461764,0.9628197864757838
31,training,0.049346402,0.3066229224205017,0.015903286187054017,1.0221791215578901,0.3899152617612499,0.9921645507688744
32,training,0.03439384,0.313845694065094,0.015903286187054017,1.0434738877130654,0.42349887674115416,1.0186462486064298
33,training,0.04759778,0.3200826421380043,0.015903286187054017,1.0640009143952713,0.45775270853596434,1.0442258062229082
34,training,0.06347503,0.3170277774333954,0.015903286187054017,1.0834885039783242,0.49224887641491627,1.0680420681859606
