step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228442,0.303783506155014,0.0,0.00017479567430629412,0.0005182989715001998,0.0031508743091434106
2,training,0.0875245,0.2961216233670712,0.0,0.00244522294158285,0.0005286585078386085,0.0032148523371397157
3,training,0.078972325,0.2732833381742239,0.0,0.05146043735280348,0.0007275257452741737,0.0055484660799665865
4,training,0.08029753,0.319767327979207,0.0,0.07133582492706798,0.0008655100845917872,0.00816093083349307
5,training,0.07640059,0.3037412017583847,0.0,0.11125519585590414,0.0013248739827610109,0.015350516973230158
6,training,0.072841704,0.2996433973312378,0.0,0.15132456495387456,0.0020993611530278097,0.02454612862969132
7,training,0.068668306,0.32132358103990555,0.0,0.19105517707663738,0.003308636245176016,0.03678353735392212
8,training,0.06630136,0.28788318485021586,0.009039937451904442,0.23099903526760962,0.00506558830293327,0.05199258929097778
9,training,0.056803208,0.263471819460392,0.009039937451904442,0.2708222109793604,0.00745311670865969,0.06864999456895717
10,training,0.055588186,0.24118901044130325,0.009039937451904442,0.3104400428858393,0.010589821646848498,0.09004231449011378
11,training,0.048687402,0.2001181840896606,0.009039937451904442,0.36992683461901416,0.017026028483734794,0.12581874870385285
12,training,0.04043337,0.19650237262248993,0.009039937451904442,0.38955682865430247,0.019651354887995617,0.1400929396766904
13,training,0.032917075,0.19448544085025782,0.009039937451904442,0.4288176277811841,0.025804803824458322,0.1717945062419925
14,training,0.024222441,0.1184393465518952,0.05070171118162782,0.4678402176992197,0.03323024933257891,0.2046889271197396
15,training,0,0.044293805956840515,0.05070171118162782,0.5065625725423982,0.04200370699019781,0.2423865985766402
16,training,0.017677542,0.052910834550857544,0.05070171118162782,0.544766648803622,0.05226329076425849,0.2818056379160446
17,training,0,0.010075241327285794,0.05070171118162782,0.5826992773248625,0.06406643998182418,0.3226618427995904
18,training,0.012282745,0.06286659836769107,0.05070171118162782,0.6200761576626339,0.07743303514403903,0.3661531793864084
19,training,0.009364301,0.06183025240898132,0.062081660075915604,0.6747647192476326,0.1004951410028894,0.4334472783200365
20,training,0.007140034,0.17500635981559753,0.062081660075915604,0.7103220166509013,0.11801749959828381,0.48299795915549243
21,training,0.034579743,0.26662514358758926,0.062081660075915604,0.7447000805390931,0.13723609037061882,0.5376792373906026
22,training,0.05010854,0.36460988875478506,0.062081660075915604,0.7778392003188327,0.15832535450545288,0.5975813681316597
23,training,0.08109109,0.35288510913960636,0.04151713501618689,0.8250399801189668,0.1940938030992475,0.702919718160886
24,training,0.05590485,0.27041418477892876,0.04151713501618689,0.8678387535383533,0.2344287497216742,0.8085745981192228
25,training,0.04254164,0.23186598345637321,0.01156384247487027,0.9186014306104906,0.2948818839824,0.9327924805795129
26,training,0.03353563,0.22788515407592058,0.01156384247487027,0.951805306544297,0.34374940594956555,1.0110115047422976
27,training,0.045440115,0.2649075984954834,0.01156384247487027,0.9817615665781199,0.3953322015889155,1.0765611315181185
28,training,0.043963853,0.27593013644218445,0.08332012955677014,0.9909530232987651,0.41280405133321374,1.0964533950509656
29,training,0.035867415,0.2995947003364563,0.08332012955677014,1.0084287218403012,0.44834817850352787,1.1301782927015867
30,training,0.061836645,0.3168032616376877,0.08332012955677014,1.0327147215509422,0.5029532658920861,1.1732291020118362
31,training,0.03537547,0.3273095190525055,0.08332012955677014,1.0402453652890995,0.5212605248072649,1.1876397593155734
32,training,0.03506743,0.31644579768180847,0.08332012955677014,1.061352445631197,0.5770061676880213,1.2284844949209577
33,training,0.047900468,0.31167668104171753,0.08332012955677014,1.0679224452164873,0.595798689038188,1.2405307521937567
34,training,0.036711626,0.32632914185523987,0.2322478014908331,1.0861964282192993,0.6525994812205662,1.2786752015653207
35,training,0.049104407,0.3087225928902626,0.2322478014908331,1.0980689892573292,0.6913711785843796,1.2555747750033701
36,training,0.03159392,0.6408617049455643,0.2322478014908331,1.1112866773633856,0.7293877929576236,1.2173484705496254
37,training,0.05027641,0.6146770492196084,0.2322478014908331,1.126851261210855,0.767116366848355,1.129341368268299
38,training,0.044517487,0.9401081949472427,0.2322478014908331,1.1460331832134585,0.8030606104918288,1.0276974499855078
