step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228438,0.30378344655036926,0.0,0.00017228328478927166,0.0005109461304920606,0.0031051937791486397
2,training,0.08370249,0.2893145782873035,0.0,0.0020196573172664607,0.000519880369413777,0.0031603812636192045
3,training,0.071353346,0.25910661742091184,0.0,0.030055726042400532,0.0006211852052548174,0.004237647554196228
4,training,0.06746983,0.29087463021278387,0.0,0.06991260682671936,0.0009147248197107951,0.011701342748600276
5,training,0.059739143,0.27070216089487076,0.0,0.10976780772088923,0.0016229171781482858,0.024559613178775815
6,training,0.052724145,0.25123772770166397,0.0,0.14978041242331228,0.0028833831959387867,0.04027418299387734
7,training,0.044730876,0.2557196095585823,0.0,0.18941714239942542,0.004873806916803669,0.060925747072059035
8,training,0.03522931,0.15789057314395905,0.029618216089921528,0.22916263720977395,0.007805829379913463,0.08732537049602605
9,training,0.028348373,0.17717780172824865,0.029618216089921528,0.26874625731147694,0.011818428544939365,0.11544270657961822
10,training,0.017751679,0.09718753397464752,0.029618216089921528,0.3080440418973923,0.017059375572834407,0.15091835875411147
11,training,0.014183006,0.06083396077156067,0.029618216089921528,0.3471451639176855,0.02377618379043197,0.18970708513847587
12,training,0,0.03809976577758789,0.029618216089921528,0.3859657285517526,0.03206089967522422,0.23228378002650002
13,training,0,0.008352547883987399,0.029618216089921528,0.4241706980370172,0.04205370744044327,0.27876039010923415
14,training,0,0.045406043529510526,0.016101424473768406,0.4619585629987885,0.053770393225575114,0.32209897011451544
15,training,0.0070497957,0.051163673400878906,0.016101424473768406,0.4994826890605344,0.0671784005796466,0.36551109085573147
16,training,0.003792239,0.18060532212257385,0.016101424473768406,0.5539852997182876,0.09023699883225493,0.43791131228649927
17,training,0.0111617,0.2531381994485855,0.016101424473768406,0.5893432808054881,0.1080259250191583,0.4942186201509273
18,training,0.03888095,0.34285399317741394,0.016101424473768406,0.62342437687227,0.12776777922902066,0.5583955165860787
19,training,0.026649069,0.30092282220721245,0.020212407189465723,0.6560033203004991,0.14970145275463295,0.6267810458605895
20,training,0.039626397,0.2626029960811138,0.020212407189465723,0.6871178940887699,0.17383174180749156,0.6912374660285249
21,training,0.049588114,0.23010763246566057,0.020212407189465723,0.7170155695266694,0.19999971518404122,0.7460619045404374
22,training,0.023879454,0.23756606504321098,0.020212407189465723,0.7453063118667813,0.22738541840379803,0.7902974458276629
23,training,0.038223483,0.2498697191476822,0.03338274466480867,0.7727678002110077,0.25613410834539097,0.8248598411775091
24,training,0.046496604,0.3301718533039093,0.03338274466480867,0.7861609314647896,0.27081166905201115,0.836982722650644
25,training,0.05313196,0.31086980551481247,0.03338274466480867,0.8123938920308532,0.30063503632591604,0.8616437489805933
26,training,0.061685093,0.3187640532851219,0.03338274466480867,0.8379346430801972,0.3311582333383862,0.8857732577939639
27,training,0.053609308,0.32845837622880936,0.03338274466480867,0.8627932678174818,0.36221756543414424,0.9053853649759259
28,training,0.036647767,0.31602412462234497,0.03338274466480867,0.8870507324599445,0.3937737680660467,0.9251719906518676
29,training,0.058643464,0.334976077079773,0.03338274466480867,0.910677035717132,0.4257426647132418,0.9420421610304768
30,training,0.05266505,0.3251810446381569,0.15905447636076286,0.9339271424561664,0.45821744997704916,0.9565294171716984
31,training,0.041342262,0.300607405602932,0.15905447636076286,0.9686324770963791,0.5071322623063181,0.9254746474466479
32,training,0.06881446,0.6308885291218758,0.15905447636076286,0.9936956276976662,0.5388007952568101,0.8769358484289694
33,training,0.08975062,0.6390519402921199,0.15905447636076286,1.0206767226189508,0.5683653059484511,0.7759363176641408
34,training,0.039495546,0.5724160633981229,0.15905447636076286,1.0516259314604528,0.5953943461092018,0.6588511908052175
35,training,0.05764935,0.5110820345580578,0.2553438624814774,1.0850375358714415,0.6184279335664359,0.5484473397660614
36,training,0.053602822,0.44147276878356934,0.2553438624814774,1.120760688145032,0.6378880589363762,0.4506261776643925
37,training,0.036491167,0.4453057944774627,0.28269836149872474,1.1581178216251746,0.654016851012626,0.3657579304562172
38,training,0.11783277,0.33648759126663214,0.28269836149872474,1.1967248013043725,0.6670167548303062,0.28376934635298934
39,training,0.06124412,0.2963547892868518,0.28269836149872474,1.2358755303906752,0.6768043703668101,0.21058712858956372
40,training,0.08167352,0.24961356259882453,0.26013473620430716,1.2755924340692666,0.6841304061458529,0.1554569081229016
41,training,0.061868105,0.2101620901376009,0.26013473620430716,1.3156145977819405,0.6894647685100516,0.11056733503816896
42,training,0.10687881,0.2299050893634558,0.26013473620430716,1.355819505741692,0.6931228525146945,0.07152761193666912
43,training,0.034855727,0.14549990743398666,0.26013473620430716,1.3958868383602872,0.6952111523742872,0.0313402981673366
44,training,0.0634218,0.17436511628329757,0.26013473620430716,1.416087931254433,0.6956385356101048,0.012070764149767465
45,training,0.04387685,0.1458472367376089,0.1942638057371602,1.4564255543396456,0.6955969955725686,-0.01471870987748873
46,training,0,0.03214045614004135,0.1942638057371602,1.4964493586582512,0.6944400705335497,-0.04201685482944245
47,training,0.042793833,0.05830166954547167,0.1942638057371602,1.5566072147142045,0.6911877069916769,-0.05848524724409085
48,training,0,0.04508094722405077,0.1942638057371602,1.5765090496392271,0.6900015710201611,-0.061849731872254024
49,training,0,0.02227004361338913,0.1942638057371602,1.6164116549658476,0.6873459900026908,-0.07104295702608185
50,training,0,0.02393109281547368,0.11383506839785824,1.656423235637511,0.6843565812185003,-0.07680840783207839
51,training,0,0.030160840833559632,0.0595267391660614,1.9150464911379714,0.6606520755049184,-0.1065606629065865
52,training,0,0.015957878960762173,0.0595267391660614,1.9349764765425366,0.6584988706500943,-0.10761589627246673
53,training,0,0.011926899256650357,0.0595267391660614,1.9747503893632774,0.6543185460857788,-0.10210461437760776
54,training,0,0.015881627157796174,0.0595267391660614,2.014349987182291,0.650311801479502,-0.10050647940808215
55,training,0,0.021833795879501853,0.0595267391660614,2.054216035915238,0.6463361443629391,-0.09813158657318538
56,training,0,0.03282242949353531,0.0595267391660614,2.0938760769228173,0.6425352055538474,-0.09383246231667793
57,training,0,0.03566478454740719,0.019295639272659166,2.13360710723428,0.6388919174406735,-0.08874491214631461
58,training,0,0.04420711874263361,0.019295639272659166,2.1735203496593387,0.6353894386178842,-0.0872379005644837
59,training,0,0.042977175500709563,0.019295639272659166,2.2131629583779864,0.6319264617158413,-0.08790237018053862
60,training,0.0925334,0.054486686654854566,0.019295639272659166,2.253060474572685,0.6283996002706665,-0.08859653509546053
61,training,0.042277418,0.05389132956042886,0.019295639272659166,2.2928767304725564,0.624882277306981,-0.08822042497193358
62,training,0.0759975,0.06412052363157272,0.019295639272659166,2.352533940091237,0.6195134752629967,-0.09160994344641167
63,training,0.044771947,0.08117076195776463,0.004448299657181484,2.3923797169752143,0.6158236311666967,-0.09342828432967226
64,training,0.026713327,0.09606829285621643,0.004448299657181484,2.4320361415132963,0.6120275077100025,-0.09776351168026223
65,training,0.047322612,0.10859014093875886,0.004448299657181484,2.4719478684871996,0.608035414276039,-0.10167855486571727
66,training,0.056584757,0.1374690905213356,0.004448299657181484,2.5115921332686244,0.6039343246858734,-0.10589063606394979
67,training,0.052277356,0.1396892201155424,0.004448299657181484,2.5513769683091363,0.5995914781726618,-0.11192789163752308
68,training,0.055927996,0.12238558195531368,0.004448299657181484,2.5911822298131386,0.5950115622571623,-0.11705948851254239
69,training,0.05015476,0.12958896532654762,0.021588712392581276,2.610961217159572,0.5926611364284512,-0.12019165022032822
70,training,0.03460771,0.13507817313075066,0.021588712392581276,2.650639578811844,0.587735798599684,-0.12698539347232493
71,training,0.0661292,0.1592687852680683,0.021588712392581276,2.6903640984095123,0.5825535203469289,-0.13228535897620336
72,training,0.02808085,0.23028411157429218,0.021588712392581276,2.7298921882916023,0.5771841411427754,-0.13875913845661078
73,training,0.02867268,0.16819226741790771,0.021588712392581276,2.769572419791798,0.5715015869602272,-0.14571560517245935
74,training,0.043137696,0.18025781586766243,0.021588712392581276,2.8091415589859667,0.5655929479673274,-0.15090828799097156
75,training,0.058108248,0.20230338722467422,0.04321494403352097,2.8485792655682944,0.5594493925532712,-0.1584608987703736
76,training,0.0441039,0.21424619853496552,0.04321494403352097,2.8881008426200925,0.5530048813984682,-0.1646663019408891
77,training,0.017994769,0.2228870689868927,0.04321494403352097,2.9274934192884707,0.5463550605696883,-0.17079168946945744
78,training,0.034592837,0.25023401714861393,0.04321494403352097,2.9669224413887116,0.5394122670551746,-0.1776180430674302
79,training,0.04205706,0.2607086803764105,0.04321494403352097,3.0062702174038107,0.5322667335380697,-0.18173899235131336
80,training,0.04003091,0.27552608400583267,0.04321494403352097,3.045508299537552,0.5249635281296829,-0.18702401676503938
81,training,0.039865397,0.3056001402437687,0.10146005201310558,3.0848000474930513,0.5174576172840308,-0.19011647764126186
82,training,0.040755,0.29160760110244155,0.10146005201310558,3.123803479545964,0.5103027246944098,-0.15825506702826164
83,training,0.028238606,0.23835440166294575,0.10146005201310558,3.1629169012412532,0.5051810900968549,-0.10221687087526822
84,training,0.030200819,0.15736708790063858,0.10146005201310558,3.202517661008815,0.5021906265130673,-0.049376803618005505
85,training,0.054887332,0.20483211800456047,0.10146005201310558,3.241939881081352,0.501153910424624,-0.006476435765606668
86,training,0.058521327,0.16728878393769264,0.10146005201310558,3.281628544218419,0.5018027486993871,0.04100507247428976
87,training,0.036454726,0.08549272269010541,0.1389441580462649,3.321255137346902,0.5043211981954261,0.08516798117906305
88,training,0,0.03227002546191217,0.1389441580462649,3.360631372424715,0.5084462188205353,0.11973584891938281
89,training,0,0.019220732152461992,0.1389441580462649,3.400206538753667,0.5136466004022296,0.13945307945535226
90,training,0.05282723,0.07572763413190842,0.1389441580462649,3.4395681777920157,0.519496038012583,0.1558801034684197
91,training,0.072413936,0.07174438238143921,0.1389441580462649,3.4787826300267137,0.5261753662402937,0.18337329843286226
92,training,0.016763803,0.11261904984712601,0.1389441580462649,3.517764422186073,0.5339725617922713,0.21130470639634988
93,training,0.028693365,0.13137559965252876,0.01406787769607262,3.575448392271163,0.5469877959685647,0.22157078603228716
94,training,0.03099464,0.1326851174235344,0.01406787769607262,3.6142231752014915,0.5558142902205662,0.22978535450946994
95,training,0.06912858,0.14854101836681366,0.01406787769607262,3.6530091309067294,0.565172241468425,0.24397575752995543
96,training,0.033238947,0.15049264580011368,0.01406787769607262,3.6915687885450477,0.5750640770002231,0.2569763651146235
97,training,0.07722476,0.17291200160980225,0.01406787769607262,3.710844644885862,0.5801844516135843,0.2622740949091788
98,training,0.038974285,0.1850292906165123,0.01406787769607262,3.749413844852348,0.5907523809978762,0.27352627858453676
99,training,0.039993312,0.20579037442803383,0.00828272723368345,3.787656714974345,0.6017387178285907,0.28474985041741585
100,training,0.052199114,0.2208517789840698,0.00828272723368345,3.8259452662292746,0.6131382115982067,0.29407461182036393
101,training,0.045836464,0.2441830262541771,0.00828272723368345,3.8641243293192424,0.6249141763163227,0.30477989355662627
102,training,0.06846727,0.2535135746002197,0.00828272723368345,3.921044369631869,0.6432426465945998,0.31790338725349215
103,training,0.03278061,0.26950823888182646,0.00828272723368345,3.940094614414877,0.6495473361038077,0.3222195562915043
104,training,0.05469959,0.300492811948061,0.00828272723368345,3.9778027672090026,0.6623448339170014,0.33157361526991375
105,training,0.033891067,0.30038109421730047,0.03903884981003833,4.015480263273653,0.6754854977107762,0.33936502366386834
106,training,0.015710449,0.31220911629498005,0.03903884981003833,4.053242579213372,0.6889569454880066,0.34697882599446167
107,training,0.045716707,0.3192956652492285,0.03903884981003833,4.090597705641295,0.7026152362114799,0.3531892440646069
108,training,0.022713091,0.3202302902936936,0.03903884981003833,4.128140419487823,0.7165615604578606,0.3581768298031714
109,training,0.0292587,0.3124510822817683,0.03903884981003833,4.1655243766236545,0.7306480126526361,0.3628268796793488
110,training,0.05264487,0.31750613171607256,0.03903884981003833,4.202783476406994,0.7448718204059178,0.36591574301255264
111,training,0.016253727,0.3193298075348139,0.09441659568083896,4.240258631943053,0.7592651796455802,0.3674294971812044
112,training,0.028083364,0.3208839597646147,0.09441659568083896,4.277412741521374,0.7735902087454312,0.3680821946558316
113,training,0.074672796,0.3211615001782775,0.09441659568083896,4.314757567086677,0.7879889018745129,0.3675636837132296
114,training,0.040976524,0.3213644402567297,0.09441659568083896,4.352140130324247,0.8023596650331218,0.36694914203796825
115,training,0.03795779,0.3236128836870194,0.09441659568083896,4.408083812835757,0.8238017382735938,0.3646602658476867
116,training,0.031181334,0.3224407737143338,0.09441659568083896,4.4268694301485425,0.8309618857503331,0.3636278193215276
117,training,0.03470412,0.31737479288131,0.16438598118215272,4.464175792223615,0.8451153203048978,0.36165620715310437
118,training,0.05503944,0.4234494138509035,0.16438598118215272,4.50195886437196,0.8589573036069966,0.3251732961952922
119,training,0.021588605,0.3495808467268944,0.16438598118215272,4.540742615908277,0.8704932456603985,0.24750517981479653
120,training,0.014880237,0.2861430775374174,0.16438598118215272,4.580372909255814,0.8787673772343272,0.16527801572381287
121,training,0.018207226,0.2611690163612366,0.20388766950630052,4.620430160250546,0.8840374489188111,0.09966128561255594
122,training,0.05608184,0.1727237328886986,0.20388766950630052,4.660825441324085,0.8868728119890334,0.039969636256753045
123,training,0.029390246,0.14846991747617722,0.20388766950630052,4.701374942491863,0.8873788253503505,-0.011733625369986914
124,training,0.040261902,0.11124976724386215,0.20388766950630052,4.74156461640314,0.8859689535984718,-0.05835421348247136
125,training,0.055352323,0.08270522952079776,0.2019746298530333,4.781856657307878,0.882756902167785,-0.09907770944675062
126,training,0.011743646,0.05204781889915466,0.2019746298530333,4.821761640264179,0.8781805144785689,-0.1287516826187479
127,training,0,0.04235038533806801,0.2019746298530333,4.861457959340818,0.8725433397370225,-0.15198262328767462
128,training,0.028865231,0.07959490641951562,0.2019746298530333,4.901037501961581,0.8661318718398645,-0.16832002495617984
129,training,0,0.045322503894567476,0.2019746298530333,4.940491277025056,0.8590273995780341,-0.1903189615694897
130,training,0,0.029175748117268085,0.2019746298530333,4.979804976821201,0.8510173594202567,-0.21082965369144718
131,training,0,0.03343867510557175,0.1568419641182849,5.018814472631472,0.8422510052440666,-0.22534090622706412
132,training,0.019107604,0.06891293078660965,0.1568419641182849,5.057758330962656,0.8333021653599196,-0.22696189256362853
133,training,0.029417273,0.0728642214089632,0.1568419641182849,5.096651611845391,0.8243662305525294,-0.22345390938530219
134,training,0.023222508,0.06234104745090008,0.1568419641182849,5.1356881354762125,0.8156146677347387,-0.21824153562004422
135,training,0.04511158,0.1039465218782425,0.1568419641182849,5.174649688199115,0.807027257334751,-0.21593771660956768
136,training,0.010559855,0.09007993433624506,0.1568419641182849,5.233195307422874,0.7945832603076893,-0.19974685670036288
137,training,0.047863863,0.06884208554401995,0.09781947018548662,5.272278548710442,0.7869288444552535,-0.18639731021050737
138,training,0.015794182,0.07580114668235183,0.09781947018548662,5.311485055377157,0.7798646949629222,-0.17043808149320241
139,training,0.025116205,0.10319415479898451,0.09781947018548662,5.370489295366617,0.7703461322907996,-0.15028301205668118
140,training,0.022399794,0.12509475275874138,0.09781947018548662,5.409988393711734,0.7646572969448134,-0.13576576455103787
141,training,0.008416093,0.12161625176668167,0.09781947018548662,5.429748350433423,0.7620336276939442,-0.12927580407813943
142,training,0.03164106,0.08546217158436775,0.09781947018548662,5.469245360523448,0.7570814131631318,-0.12007334277825117
143,training,0,0.031511006876826286,0.07297526162427966,5.489126541819221,0.7547362917515734,-0.11518531278472198
144,training,0,0.015986502170562744,0.07297526162427966,5.528782236794373,0.7503894569797669,-0.10341730163770477
