step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.092284404,0.3037834763526917,0.0,0.00017254917329965862,0.0005117242641680333,0.0031100280157740864
2,training,0.07747394,0.27834148146212107,0.0,0.011588876413725229,0.0005536805097893369,0.0033690552584350517
3,training,0.062259495,0.25220202654600143,0.0,0.02922587896693667,0.0006191844202226885,0.004458215768688161
4,training,0.052403264,0.2591535225510597,0.0,0.06906658544095784,0.0010174384733891068,0.017389183992123258
5,training,0.04011857,0.20386279374361038,0.0,0.10882594131839789,0.002110759123706631,0.038970435124078245
6,training,0.03163614,0.24712687730789185,0.0,0.14867027650766085,0.004178588160985743,0.066531806608077
7,training,0.021910032,0.1544665396213531,0.0,0.18816494234003509,0.007451204198161386,0.10091722292095236
8,training,0.01146592,0.06284581124782568,0.0,0.2275191809101364,0.01228887580887003,0.14552777234624967
9,training,0,0.026867985725402832,0.0055068575404562765,0.26647492038598813,0.018950044034685927,0.19485704943445786
10,training,0,0.006570398807525635,0.0055068575404562765,0.305128935153334,0.027642766021889534,0.247982186611242
11,training,0.006179647,0.08585973083972934,0.0055068575404562765,0.3430622443290461,0.03833085802550814,0.3011462101522062
12,training,0.0061466233,0.15094298124313354,0.0055068575404562765,0.38056553969469326,0.051121534742592234,0.3576722747513046
13,training,0.013936615,0.22397713363170624,0.012852959452884925,0.417102566754167,0.06602112536529264,0.4188596882758201
14,training,0.019329853,0.34083155915141106,0.012852959452884925,0.46978601877576,0.09268055109432466,0.5202022941004738
15,training,0.06861588,0.32256851717829704,0.012852959452884925,0.5032055194313355,0.1134398829131046,0.592717443091046
16,training,0.07220019,0.2567576579749584,0.02272110281660545,0.535014523188877,0.13660293998965206,0.6660742193044724
17,training,0.011011103,0.20696353539824486,0.02272110281660545,0.5650726324741947,0.16187846728639652,0.7286838700596988
18,training,0.036306717,0.21414635702967644,0.02272110281660545,0.593984884988829,0.18906650314067935,0.7773649835737944
19,training,0.066449456,0.23828467726707458,0.08239692898299861,0.621807440522069,0.21745353888222263,0.8118947716506447
