step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252405,0.3201937675476074,0.0,0.00017457559298159238,0.0005176548537938849,0.003146872618539899
2,training,0.09025802,0.2927107475697994,0.0,0.006000092797694735,0.0005419808068771589,0.0032971226272456708
3,training,0.086690634,0.31938669830560684,0.0,0.040093844038899484,0.0006742565305349926,0.0054954618596833186
4,training,0.082267255,0.30386438965797424,0.0,0.07988279360653147,0.0010089461677984263,0.012266971066094506
5,training,0.07036535,0.27062978968024254,0.0,0.11983982280066324,0.0016927959524015409,0.022831254152517234
6,training,0.06675525,0.2891950085759163,0.0,0.17963654866580986,0.003647820387031492,0.04417704673412283
7,training,0.06112611,0.27208304405212397,0.0,0.19949901110433413,0.004619795842061784,0.053727229775571456
8,training,0.047280468,0.1717899963259697,0.02105222171764632,0.23938289924116846,0.007167963389717423,0.07492409069667702
9,training,0.037312012,0.20464053750038147,0.02105222171764632,0.2789671931909337,0.01059861473442581,0.09944288272429114
10,training,0.027848974,0.1451980024576187,0.02105222171764632,0.31842553434372584,0.015126667594613698,0.13008096823959553
11,training,0.018655628,0.09000897407531738,0.02105222171764632,0.3577643010022918,0.020927711038199105,0.16318546999618333
12,training,0.01554852,0.08017489314079285,0.02105222171764632,0.39679625047340866,0.028088439085249686,0.20196941890408412
13,training,0,0.0297213196754455,0.02105222171764632,0.4353795560661716,0.03688304594213188,0.24716228599365297
14,training,0,0.015620619058609009,0.03728467029889882,0.4735735314150602,0.047442690893247916,0.2920313531788977
15,training,0,0.00457000732421875,0.03728467029889882,0.5113625396539873,0.05970471032767971,0.3364784059231891
16,training,0.010402371,0.08364152908325198,0.03728467029889882,0.5483161529362071,0.07353094284723859,0.3794742083694399
17,training,0.00663443,0.10174776613712311,0.03728467029889882,0.5848715839995254,0.08907153757403581,0.42624464586999683
18,training,0.0074868845,0.18702059239149094,0.03728467029889882,0.6204114375947566,0.10628252327001285,0.47713756587229195
19,training,0.0012848587,0.3180580735206604,0.02904681540954537,0.6549440301996826,0.1253553582458227,0.5330855409612746
20,training,0.04421334,0.3214813591912389,0.02904681540954537,0.6882984006048511,0.14635097259912735,0.5925048907232839
21,training,0.058463205,0.3073020102456212,0.02904681540954537,0.7203749095156718,0.16948950556755316,0.6577683113552099
22,training,0.03732665,0.29878200218081474,0.02904681540954537,0.7652369538671311,0.20771657270534763,0.7514999499380988
23,training,0.052250996,0.25271810218691826,0.026647275750762405,0.7933780753254717,0.2356014586533105,0.8084301153635123
