step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228442,0.303783506155014,0.0,0.00017580442461019499,0.0005212513575904474,0.003169216561256295
2,training,0.07552765,0.27482582442462444,0.0,0.009959621493714616,0.0005585376069561874,0.003399430160552643
3,training,0.056029003,0.2287183627486229,0.0,0.02682241991015767,0.0006216783968290324,0.004034352076712053
4,training,0.045137577,0.2417031973600387,0.0,0.06666415900971791,0.001021339280230619,0.01804548532175445
5,training,0.030119311,0.18884970247745514,0.0,0.10639432915609286,0.0021552282888834913,0.040648587034915556
6,training,0.023704156,0.2346949428319931,0.0,0.1462000168324086,0.004346873257738694,0.0710842297868582
7,training,0.0152282715,0.1417098492383957,0.0,0.185711503652833,0.0078654342790953,0.10866290328561633
8,training,0,0.045511871576309204,0.031173029716786985,0.22498835114417184,0.013041022010533738,0.15510948922040924
9,training,0,0.007970660924911499,0.031173029716786985,0.26389480021359046,0.020066160273046064,0.2020295775478823
10,training,0,0.022203505039215032,0.031173029716786985,0.3024359517407865,0.028953524297662236,0.2523260967192025
11,training,0.0077902363,0.05789002776145935,0.031173029716786985,0.3403720588978669,0.03975991617213849,0.30183181126281056
12,training,0.005169845,0.14963364601135254,0.031173029716786985,0.377918392913163,0.05249517027981047,0.35397375350614235
13,training,0.007312295,0.2753738686442375,0.014990857171632257,0.43234799189186524,0.07537501294024809,0.445676550651557
14,training,0.051245492,0.33971328660845757,0.014990857171632257,0.46732956743906284,0.0935636763812708,0.5139587474511398
15,training,0.09726873,0.3358161272481084,0.014990857171632257,0.5172072357526479,0.1252480478177334,0.6200107185191462
16,training,0.068146184,0.24240205809473991,0.03661022564926458,0.548244919387056,0.14910494135882077,0.6889135876236024
17,training,0.026784891,0.19242740888148546,0.03661022564926458,0.5778888732898275,0.17509094121592275,0.7470080637585091
18,training,0.03852827,0.19335031136870384,0.03661022564926458,0.6065640294384778,0.2028406138858866,0.7862448691974689
19,training,0.042319506,0.22524187713861465,0.08495979237188013,0.6340547114107933,0.23131282391873403,0.8167254486942161
20,training,0.016588904,0.2681516595184803,0.08495979237188013,0.6476105673656314,0.24589988724852915,0.8259746082803184
21,training,0.035476435,0.30507660284638405,0.08495979237188013,0.6611357873387909,0.2606540952257096,0.8317664849500783
22,training,0.041583434,0.3271426670253276,0.08495979237188013,0.6878918198775389,0.29026175649084246,0.8393274981800899
23,training,0.043833733,0.3149825055152178,0.08495979237188013,0.714370714513848,0.32001118798038264,0.847087316705554
24,training,0.054646913,0.32828815653920174,0.08495979237188013,0.7407419069336711,0.3500392617224076,0.8519841061663158
25,training,0.0526072,0.3097177743911743,0.08495979237188013,0.7799981874194931,0.3951759765531903,0.8579492692299727
26,training,0.0542019,0.3084304230287671,0.08495979237188013,0.8060900723806522,0.42545872847487554,0.859972963584369
27,training,0.03448292,0.31898325483780354,0.20852674780881308,0.8321370030875519,0.4557188894403072,0.8600351084286324
28,training,0.031774286,0.3076602788642049,0.20852674780881308,0.8585645634386939,0.4858645912420516,0.8265611718417564
29,training,0.040154703,0.5395659171044827,0.20852674780881308,0.8869584334054804,0.5148187067757699,0.762841135465662
30,training,0.08233111,0.5098793171346188,0.20852674780881308,0.9172546795096183,0.541520038385272,0.670396615578951
31,training,0.09045542,0.44623193889856344,0.20852674780881308,0.9506284601800236,0.5652087877709967,0.5639154488471697
32,training,0.107525855,0.38156150653958326,0.27884171300987104,0.9861082266702873,0.5852950966293989,0.46762491706717124
33,training,0.10223424,0.31980154663324356,0.27884171300987104,1.0232420616608948,0.6020416513857556,0.3811776561790726
34,training,0.073318645,0.2675016485154628,0.27884171300987104,1.0613423021930066,0.6156367622273675,0.305502049578814
35,training,0.07090506,0.21561704576015472,0.28559635988675813,1.1004740114775433,0.6265240622042043,0.23860146160598825
36,training,0.057677373,0.10490895062685013,0.28559635988675813,1.1400215868133259,0.6349486371141859,0.18218116694565964
37,training,0.07505633,0.07647256553173065,0.28559635988675813,1.1800340928182542,0.6412143196113547,0.13454180059576712
38,training,0.051557288,0.05498087406158447,0.28559635988675813,1.2198590567877012,0.6459989883554569,0.10478229320956713
39,training,0,0.03967279940843582,0.24801667211351464,1.2399120883765742,0.6479750587564725,0.09166750593410164
40,training,0,0.022559717297554016,0.24801667211351464,1.280046467478076,0.6511370442868746,0.06589468621973618
41,training,0,0.003409489989280687,0.24801667211351464,1.3199480824454703,0.6533378707858208,0.044876160849209146
42,training,0,0.00932367891073227,0.24801667211351464,1.36018801355494,0.6547835014329585,0.028039968500359436
43,training,0,0.017737057060003274,0.24801667211351464,1.4001882467957203,0.6556223952721142,0.014691004288657779
44,training,0,0.04252258688211441,0.1800264130098538,1.440221341542666,0.6559719522093518,0.002999730375907684
45,training,0,0.028027303516864777,0.1800264130098538,1.4804220252122484,0.6558976159241456,-0.004638579993585139
46,training,0,0.036174628883600235,0.1800264130098538,1.5202976246950601,0.6555943439310284,-0.011846281101451667
47,training,0,0.04365760646760464,0.1800264130098538,1.5604306439046938,0.6549536305205562,-0.019897101985865872
