step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252403,0.30896808020770555,0.0,0.00017293426216427772,0.0005128512527848647,0.0031170295606932938
2,training,0.09069519,0.27955988980829716,0.0,0.004841958693937076,0.0005333721806783992,0.003243805065738808
3,training,0.07784082,0.2520553320646286,0.0,0.037696252424113307,0.0006571974325210851,0.005038635981357938
4,training,0.076048,0.28719872608780866,0.0,0.07750744368606359,0.000958000206584366,0.011011725181397551
5,training,0.07083861,0.27014553546905523,0.0,0.11745395001664989,0.0015725174691394958,0.020537254309849023
6,training,0.060962602,0.23421115428209305,0.0,0.1574726203513882,0.002614509061207194,0.032736941757884955
7,training,0.057319902,0.27113045006990427,0.0,0.1971623962281308,0.004224764872827997,0.04915201632162636
8,training,0.051519014,0.2376047745347023,0.01252510610660867,0.23706735795526968,0.006563128836540384,0.0689738780096466
9,training,0.04293391,0.22716256976127625,0.01252510610660867,0.2964743151694313,0.01163681849287037,0.10340316902081939
10,training,0.04092037,0.20445150136947632,0.01252510610660867,0.3162552589353782,0.013824051542446,0.11732245016456953
11,training,0.03549027,0.2283547222614289,0.01252510610660867,0.35571961178716827,0.01906023964328201,0.1469438155681486
12,training,0.030826034,0.1481717079877854,0.01252510610660867,0.3949026752948483,0.025507605909585722,0.18096746203990002
13,training,0.02056475,0.09958863258361816,0.01252510610660867,0.43374481699468026,0.0334080562598626,0.2216368471346446
14,training,0.0147312125,0.1309630572795868,0.09780977658929463,0.472216234698362,0.04293307549545827,0.2644437516972418
15,training,0.009588305,0.02159366011619568,0.09780977658929463,0.5102734814009426,0.05417307650134744,0.31145842074741253
16,training,0.0036709737,0.04859296977519989,0.09780977658929463,0.5474969710421648,0.06716708281561601,0.36091720930679394
17,training,0.0035746025,0.08146981894969937,0.09780977658929463,0.5842065464439294,0.08214088337533568,0.4149776501634515
18,training,0.002445458,0.1977781057357788,0.10785643377936022,0.6198590392898603,0.09905473148082883,0.4725018721300923
19,training,0.007834525,0.18898922204971313,0.10785643377936022,0.6544525484888697,0.11788982530257114,0.514392071058665
20,training,0.010094229,0.27461815625429153,0.10785643377936022,0.7058349900330152,0.14823686160771798,0.5534814855478746
21,training,0.044458665,0.27791817486286163,0.10785643377936022,0.7559516922917471,0.18039240715961843,0.5823013531120005
22,training,0.046803117,0.3084517605602741,0.10785643377936022,0.8055519704205103,0.21385593501314068,0.6052795917515844
23,training,0.003142584,0.31036409735679626,0.08862926965025969,0.8543163497058711,0.24828719083563455,0.6205247173130931
24,training,0.06130302,0.3369888663291931,0.08862926965025969,0.9192294403269079,0.29491538311290344,0.6236740059553468
25,training,0.040658623,0.29248737543821335,0.08862926965025969,0.9682454611166851,0.32965667646839514,0.605618625160813
26,training,0.06662957,0.3359147906303406,0.08862926965025969,1.0013001781637418,0.35223589500831876,0.5928075546784982
27,training,0.07419391,0.31089942157268524,0.08862926965025969,1.0178354433793078,0.3633072935775012,0.5848042331927694
28,training,0.042297795,0.2719685435295105,0.04761898726373831,1.0517156576808007,0.3850090685566168,0.5552338493326645
29,training,0.061281696,0.3070506751537323,0.04761898726373831,1.085762630417344,0.4059892232187023,0.5632041388279169
30,training,0.065718345,0.2916477918624878,0.04761898726373831,1.1189934697950707,0.4276920910105966,0.592350795184266
31,training,0.04901681,0.30916085839271545,0.04761898726373831,1.1354545671139367,0.43892822423419464,0.6056374810093436
32,training,0.033946034,0.2981001287698746,0.04761898726373831,1.1837666651866319,0.4738457946819386,0.6450914810216426
33,training,0.05159203,0.3108597844839096,0.04761898726373831,1.199561586200067,0.4858785288769445,0.6566703440591696
34,training,0.045151595,0.3038855418562889,0.04761898726373831,1.2309460720953964,0.5106187410934793,0.6782546592518984
35,training,0.035097368,0.31595343351364136,0.01032130916177481,1.2616291698855415,0.5358884275114195,0.699258973180518
36,training,0.03129887,0.3182011991739273,0.01032130916177481,1.2918395017809696,0.5617979025863736,0.7182296172092767
37,training,0.047220718,0.3161666840314865,0.01032130916177481,1.3217794433772743,0.5884168561012414,0.7367168477956489
38,training,0.020082463,0.29884202033281326,0.01032130916177481,1.350891425846733,0.615323615375413,0.7547609877737557
39,training,0.036938496,0.31733322888612747,0.01032130916177481,1.3940603180192093,0.6569618455546116,0.7798733874032987
40,training,0.06099781,0.32017306983470917,0.01032130916177481,1.42205478322681,0.6851078351891786,0.7961692582442453
41,training,0.045366533,0.31355687230825424,0.01032130916177481,1.4497390415635272,0.7138644819157798,0.8125715540391472
42,training,0.060100578,0.3247079700231552,0.08435867199591165,1.4769712712271696,0.7430335157059553,0.8264999368946158
43,training,0.063733116,0.3152237758040428,0.08435867199591165,1.503660390537385,0.772478249998727,0.8421077192480424
44,training,0.065221995,0.3080012798309326,0.08435867199591165,1.5169148237186814,0.787436527143845,0.8495614007968487
45,training,0.04150325,0.3216223195195198,0.08435867199591165,1.5430666793111893,0.8175664714287999,0.8617215025846864
46,training,0.052412856,0.30513087660074234,0.08435867199591165,1.5687740958185148,0.8479468116215311,0.8747917133966399
47,training,0.051542435,0.31485532224178314,0.08435867199591165,1.5941688485642431,0.8787224254452197,0.8859138380036365
48,training,0.066206634,0.32158926501870155,0.08435867199591165,1.6192765416362933,0.9097550572783993,0.8948894136530603
49,training,0.07135287,0.30907344445586205,0.28029043228558526,1.6440499280911016,0.9409875275022865,0.9054069105186294
50,training,0.05233159,0.509511973708868,0.28029043228558526,1.6688527915927505,0.9725532427409919,0.8886906620081079
51,training,0.13189535,0.7732634525746107,0.4476873365240101,1.8828401410632083,1.1208343818868975,0.3020443936279614
52,training,0.08240548,0.7508709765970707,0.4476873365240101,1.9029795863388783,1.1265606447831054,0.24726150499695473
53,training,0.043695167,0.6914143562316895,0.4476873365240101,1.943979261214564,1.1339354505425872,0.10554655389061861
54,training,0.053827308,0.6130185686051846,0.4675103291909288,1.984906115588777,1.1354674160191573,-0.029252925274215216
55,training,0.09998886,0.586987879127264,0.4675103291909288,2.0258588176423737,1.1316703547034241,-0.15238290204276392
56,training,0.08428034,0.39881949126720423,0.46895323655526494,2.065952109613687,1.1232901381500449,-0.25903340775616407
57,training,0.2220868,0.31792293675243855,0.46895323655526494,2.104464624568551,1.1112865974626507,-0.34069759288722595
58,training,0.0977557,0.1824570018798113,0.46895323655526494,2.1420851503991982,1.0965770990470676,-0.4026648149348123
59,training,0.08615511,0.1655662169214338,0.4302461290632986,2.1788707997885903,1.079830995164026,-0.4460982547315057
