step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.18257883191108704,0.0,0.00018245482181185584,0.0005407176571923456,0.003290156743907659
2,training,0.03343861,0.06077444553375244,0.0,0.005222764460748772,0.0005632841631790333,0.003429555189444544
3,training,0.0038287616,0.04433107376098633,0.0,0.03747591928227044,0.0007918017848280195,0.01837431334198987
4,training,0.0019101787,0.1113446056842804,0.0,0.07659383976593592,0.0024550882607124137,0.0738750139527172
5,training,0.018616032,0.2098870873451233,0.0,0.11566071403447656,0.006817112865989146,0.15262037093316344
6,training,0.02978743,0.2060401439666748,0.0,0.15405410025544003,0.014427974270174245,0.24073055381700104
7,training,0.03920096,0.2858429402112961,0.06919817129115642,0.19183318173933636,0.02554858028542082,0.3327450700709657
8,training,0.03810273,0.2614636868238449,0.06919817129115642,0.22815140320783273,0.039892929513557766,0.42134549459437587
9,training,0.033394985,0.25026677176356316,0.06919817129115642,0.2633181144426759,0.057447856821521495,0.5021032159699088
10,training,0.024785878,0.14200084283947945,0.0937656553924554,0.31368320501547997,0.08851058044546686,0.5991867292414043
11,training,0.039995074,0.21956439502537253,0.0937656553924554,0.3295372658048706,0.09967937449194643,0.6252095144359495
12,training,0.050016824,0.2196594960987568,0.0937656553924554,0.36146214080741607,0.12323892509442531,0.6401520396143857
13,training,0.046495948,0.25520279072225094,0.0937656553924554,0.39353503773591036,0.1472250453984668,0.6439177931311605
14,training,0.047914006,0.24617457017302513,0.0937656553924554,0.4253787614422921,0.17125762215415463,0.6488834001695132
15,training,0.049508285,0.2841959036886692,0.0937656553924554,0.45708639832527037,0.19543713730504317,0.6545847394346441
16,training,0.048208855,0.3331894055008888,0.0937656553924554,0.4888001294893613,0.21996248460530068,0.6632570977301026
17,training,0.06123163,0.3331437259912491,0.15227629498768755,0.5199560209831525,0.2445958709144351,0.6745805061378718
18,training,0.048322983,0.39444180577993393,0.15227629498768755,0.5513150941498629,0.2696492250007818,0.65763441879954
19,training,0.07349685,0.3763332925736904,0.15227629498768755,0.5839022682496025,0.2934684488120446,0.6016234479731852
20,training,0.08734342,0.28665105625987053,0.15227629498768755,0.6179124959146219,0.31524747706380557,0.5370932766095265
21,training,0.056503847,0.22417245898395777,0.15227629498768755,0.6534256498118389,0.3350066349110679,0.4822587948963766
22,training,0.06622891,0.18909024959430099,0.15227629498768755,0.6896226999996747,0.3529483381230506,0.4390984936290094
23,training,0.052747756,0.10876478627324104,0.18311668981427728,0.7264173904313024,0.36930349845824223,0.3979386301752287
24,training,0.028277315,0.08055544272065164,0.18311668981427728,0.7636668970516394,0.38420250935611816,0.36603428015732375
25,training,0.047157604,0.001152683049440377,0.18311668981427728,0.8015289764275181,0.39817429734971177,0.34143067553116907
26,training,0.058899134,0.025610700249671936,0.18311668981427728,0.8392975893454653,0.41116305581262336,0.3239079574052223
27,training,0.04130835,0.027744818478822708,0.18311668981427728,0.896580930687476,0.4297884683094766,0.3044007269779602
28,training,0.022333521,0.003738500177860274,0.18311668981427728,0.9347597940224982,0.44155719243214914,0.2931171981487123
29,training,0.04368612,0.029065370559692383,0.16663939099385475,0.9731977154674298,0.4528778955503089,0.27925278819886046
30,training,0.032527298,0.09667492657899857,0.16663939099385475,1.0118182405048126,0.4637000039680912,0.26767151013597285
31,training,0.03248644,0.08694745041429995,0.16663939099385475,1.0504422916548077,0.4740046242116517,0.2529768665416071
32,training,0.037838273,0.0673404629342258,0.16663939099385475,1.0894166171268214,0.4837738296745642,0.23840824368380187
33,training,0.034253675,0.04430528171360493,0.16663939099385475,1.1283468904029734,0.4929918554465465,0.22606040901627195
34,training,0.012455926,0.03570522740483284,0.16663939099385475,1.1674372390379715,0.5016808958049174,0.21110555972585981
35,training,0.020515218,0.033531323075294495,0.11651448519258865,1.226195338564187,0.5138679321707386,0.20006967616886495
36,training,0.0356003,0.015508249402046204,0.11651448519258865,1.2654338925768345,0.5216664456795884,0.19143848318905698
37,training,0.018720685,0.01643483154475689,0.11651448519258865,1.3047621028646064,0.5290895746732028,0.1813576281464155
38,training,0.022751154,0.048083255998790264,0.11651448519258865,1.3441516243742966,0.5362091095681952,0.17657369704474238
39,training,0.022443054,0.01681365817785263,0.11651448519258865,1.3836206061504983,0.5430803139906293,0.1677573129273548
40,training,0.015932731,0.03960489109158516,0.07493845261518162,1.423023076781717,0.5495948851161659,0.15933179041416315
41,training,0.015247388,0.010095193982124336,0.07493845261518162,1.4626042127656367,0.555779887330946,0.15038075315673294
42,training,0.011054677,0.06121382350102068,0.07493845261518162,1.5021109170142557,0.5615860448752449,0.14124329060297344
43,training,0.015648905,0.07753590121865273,0.07493845261518162,1.54182991612679,0.5670358803859364,0.13135205989817952
44,training,0.02404916,0.09126824513077736,0.07493845261518162,1.5816056934967841,0.5720501683595719,0.11917022656889237
45,training,0.0076233414,0.09895825386047363,0.07493845261518162,1.6013779922789522,0.5743695201912115,0.11372759436895227
46,training,0.0064096088,0.0700013767927885,0.006650616911072035,1.6412381447056215,0.5786917612810132,0.10242334157654276
47,training,0.02532114,0.07348723337054253,0.006650616911072035,1.7010593559776999,0.5843603568931363,0.09288235955053312
48,training,0.0116917435,0.11155801638960838,0.006650616911072035,1.7408071932235059,0.588201989641567,0.10028656606072404
49,training,0.014049396,0.1380179300904274,0.006650616911072035,1.7805622991059817,0.5923600894923632,0.10913950917107634
50,training,0.012325764,0.1397281065583229,0.006650616911072035,1.8200466964563613,0.5969590396726895,0.1229422199536025
