step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252415,0.21268102526664734,0.0,0.00018264750096723056,0.0005412816999344588,0.003293661082904264
2,training,0.04199606,0.08630402386188507,0.0,0.0041512242174514685,0.000560273789761883,0.003411008675007475
3,training,0.012332402,0.02710968255996704,0.0,0.035309230755199594,0.0007435795734941638,0.01459792168559068
4,training,0.002843559,0.009322017431259155,0.0,0.07455825811071116,0.002151302156189041,0.06388134384706509
5,training,0.0070481263,0.1320958137512207,0.0,0.11369801014237882,0.0060661509140995575,0.1400863776573821
6,training,0.019199852,0.1445806622505188,0.0,0.15213115529403634,0.013170249506967914,0.22837054978920054
7,training,0.035873406,0.3197869807481766,0.056535877236455555,0.18995775969174042,0.023887782085652967,0.3262704409895308
8,training,0.043600548,0.283859446644783,0.056535877236455555,0.2262405421016795,0.03815363541943427,0.4262431290671526
9,training,0.034246944,0.2666681557893753,0.056535877236455555,0.26104882569365917,0.05605693533600295,0.5225855204186778
10,training,0.032283526,0.2573961466550827,0.08248261263867294,0.29412478220271826,0.0770949909453401,0.6080950669813112
11,training,0.025612807,0.1573808453977108,0.08248261263867294,0.32562857633457637,0.10092107514174022,0.6846509819999088
12,training,0.041321605,0.14641346037387848,0.08248261263867294,0.36975885907924544,0.14030041884787908,0.759997993373231
13,training,0.075129434,0.16953332535922527,0.1308231038285892,0.3841510516777644,0.15420110498235162,0.7740423513686977
14,training,0.037055302,0.3967735469341278,0.1308231038285892,0.4124241911131285,0.1820747529278661,0.774382119097626
15,training,0.051302426,0.3997727520763874,0.1308231038285892,0.4416917646389546,0.20960021126889902,0.7232282083054435
16,training,0.05368963,0.3252530172467232,0.1308231038285892,0.47320332892141637,0.23544594828511667,0.6500162273938642
17,training,0.048621822,0.3069927617907524,0.1308231038285892,0.506004380787032,0.25868725699054396,0.5848466319414887
18,training,0.054134514,0.2679690271615982,0.1308231038285892,0.5403735711812491,0.2800479105773186,0.5280763787847311
19,training,0.048225112,0.2551180236041546,0.19961704362391397,0.5756775519756206,0.29948988888907946,0.4797848763649341
20,training,0.067064375,0.23843833431601527,0.19961704362391397,0.6119425836366879,0.31733541662488224,0.4343898306468276
21,training,0.08993191,0.17346566170454028,0.19961704362391397,0.6487227076327164,0.3334650809635775,0.3932711006102179
22,training,0.06325707,0.16179709509015086,0.19961704362391397,0.68620032794257,0.34827026297271835,0.3616292654721705
23,training,0.04351173,0.10629593580961227,0.19961704362391397,0.724036387869894,0.36200565710973176,0.33563544296670444
24,training,0.033058636,0.09638311341404915,0.19961704362391397,0.7810908736435878,0.38090300317584397,0.3075122804789686
25,training,0.045904282,0.08227436058223246,0.1957744857985701,0.8194260018425121,0.3928045158241738,0.2948956359529724
26,training,0.049568124,0.06069488637149334,0.1957744857985701,0.8577166878320667,0.4041556942782476,0.2814219543081171
27,training,0.024008935,0.07605491206049916,0.1957744857985701,0.8770325176919409,0.4096675533951648,0.2740017668807957
28,training,0.030817583,0.039362069219350815,0.1957744857985701,0.9156276300166772,0.4201906463274841,0.2565023125136425
29,training,0.05586593,0.05752966180443764,0.1957744857985701,0.9740515554196691,0.4345123427350888,0.23199384615802815
30,training,0.034751177,0.03363329358398914,0.1957744857985701,1.012981643794745,0.44364885415330957,0.229367255995432
31,training,0.025716078,0.015874936245381832,0.1374333259979813,1.071368653238767,0.4571541331242133,0.22475935217420964
32,training,0.03006028,0.0658381599932909,0.1374333259979813,1.1103647912654193,0.46600662957530653,0.221722708238633
33,training,0.0310209,0.06752617657184601,0.1374333259979813,1.1688989354386694,0.47900668072871655,0.21430717511048594
34,training,0.028834233,0.09278861060738564,0.1374333259979813,1.2274831609306087,0.491724186534511,0.21459109944736987
35,training,0.0066401875,0.06676911422982812,0.08389566880445476,1.2665235232067251,0.5001994903873233,0.21051763946790222
36,training,0.03590729,0.000873953104019165,0.08389566880445476,1.3253564459986051,0.5123249952435728,0.1953338016427902
37,training,0.018054862,0.04006451740860938,0.08389566880445476,1.3645890578355773,0.5199094224818898,0.18688470027632476
38,training,0.013815004,0.061447244137525565,0.08389566880445476,1.4039162308176287,0.5271773570648883,0.1787675907761764
39,training,0.030780628,0.04519503377377987,0.08389566880445476,1.4236205943347235,0.5306994911028895,0.17486697163600845
40,training,0.022032376,0.03042347589507699,0.08389566880445476,1.4630729173547259,0.5375064587300262,0.1669060199898446
41,training,0.01947502,0.09576476737856865,0.032859519579465375,1.5025044159124243,0.5440105643679859,0.16048730252514465
42,training,0.01701249,0.08887607976794243,0.032859519579465375,1.5419733384221288,0.5504244237538849,0.16558766750679757
43,training,0.026133362,0.05214213393628596,0.032859519579465375,1.5813224428903816,0.5571653395025571,0.17285866678074935
44,training,0.0033985514,0.008655667304992676,0.032859519579465375,1.6402110901632443,0.567668866598466,0.17669273553505038
45,training,0.0032009056,0.0020927563309669633,0.032859519579465375,1.679753547531724,0.5745159419773365,0.16310918073436453
46,training,0.022089742,0.006607547402381911,0.032859519579465375,1.7192271102157277,0.5806703626665939,0.14530136907883773
47,training,0.009766439,0.027033358812332167,0.008770319184148567,1.7590672621318004,0.586118675165565,0.12619516255212002
48,training,0.013071297,0.0615797508507967,0.008770319184148567,1.798797905704837,0.5908272229198325,0.11148326883397319
49,training,0.013626194,0.08043154980987309,0.008770319184148567,1.8385542874661354,0.5951163039185967,0.1053656355942671
50,training,0.01896779,0.08603171724826099,0.008770319184148567,1.8784244149208555,0.5993182688775637,0.10560225362289791
