step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.21347687393426895,0.0,0.00018284018276522752,0.0005418457534487578,0.0032971654919502877
2,training,0.04569646,0.11893312633037567,0.0,0.006110447265568483,0.0005673894307731107,0.003454931429328322
3,training,0.016948026,0.06722575426101685,0.0,0.03964578988981561,0.0007836063431097757,0.016250932856125885
4,training,0.0019185382,0.03992706537246704,0.0,0.07906615680425672,0.002209930332894981,0.06167686802204207
5,training,0.0014895294,0.07185184955596924,0.0,0.11836283273130457,0.005839101747071421,0.12669398715821037
6,training,0.009954524,0.0682364404201507,0.0,0.1570966090364298,0.01223627849441912,0.2039418990568853
7,training,0.028423866,0.33969978988170624,0.049871230309924866,0.1953825044505611,0.02188500937270732,0.29222717537795423
8,training,0.0433665,0.307021364569664,0.049871230309924866,0.23211159009999033,0.03483916716167379,0.3865124663111065
9,training,0.039177287,0.2880791276693344,0.049871230309924866,0.26769309775441225,0.051313864095519295,0.48042021534696444
10,training,0.04752047,0.2779460996389389,0.07071411088797094,0.3016375987894846,0.07096681312634553,0.5678633444378824
11,training,0.03579636,0.24153311550617218,0.07071411088797094,0.3336814319867428,0.0933435134085756,0.6505278099590961
12,training,0.027596345,0.1620612412225455,0.07071411088797094,0.363957854826281,0.11822618920118538,0.7221370833868803
13,training,0.027524931,0.22081571072340012,0.10498618573176301,0.39285290455399174,0.14531535136679963,0.778260533159911
14,training,0.047885705,0.350806474685669,0.10498618573176301,0.42047920346241197,0.17316624019119095,0.7880500748821132
15,training,0.05897981,0.4068496394902468,0.10498618573176301,0.4492948585174238,0.20107661104889807,0.7422220170600888
16,training,0.056509327,0.327684847638011,0.10498618573176301,0.4801846809592726,0.2276089884971169,0.6732433067247132
17,training,0.0647277,0.29111626371741295,0.10498618573176301,0.512493530126724,0.25155871379618266,0.6048573622082275
18,training,0.039036803,0.21897377632558346,0.10498618573176301,0.5464698458464401,0.2735888601897417,0.5469932702611777
19,training,0.076797,0.20373725891113278,0.10498618573176301,0.5813752949308283,0.2937191696591235,0.5020600911937463
20,training,0.07491398,0.19259303249418736,0.1702420410531637,0.6170683513146572,0.3124143682706147,0.46257305753141015
21,training,0.04229127,0.1815198231488466,0.1702420410531637,0.6532803951728547,0.32966714020944654,0.42736312080143357
22,training,0.03884568,0.12421925365924835,0.1702420410531637,0.6902520965901381,0.3457846465840546,0.395129228521945
23,training,0.052701145,0.0956427501514554,0.1702420410531637,0.7276258919787891,0.3607057424652579,0.3671546405790393
24,training,0.036820676,0.018424730747938156,0.1702420410531637,0.7651083991252963,0.3747184332832119,0.3486573794235467
25,training,0.076588646,0.014632783830165856,0.1702420410531637,0.8219324609747358,0.39468787314476667,0.33054609502407184
26,training,0.06177331,0.056226620799861855,0.1725662679981753,0.8597599515474608,0.4074699185182694,0.32114305753272027
27,training,0.038961343,0.06580715347081423,0.1725662679981753,0.8979729508242186,0.4199744018308776,0.31106858655780817
28,training,0.044545542,0.06979049928486347,0.1725662679981753,0.936035634909357,0.43201330756826906,0.30077572017767795
29,training,0.061341807,0.051035961136221886,0.1725662679981753,0.9743850637433437,0.44365138356723754,0.287946197866416
30,training,0.05039759,0.06164331827312708,0.1725662679981753,1.0129165746204036,0.45481592274899224,0.2767787300944762
31,training,0.048070915,0.06576224172022194,0.15627066488503172,1.0514099511223858,0.4654932780142083,0.263310433772634
32,training,0.04051868,0.06712749012513085,0.15627066488503172,1.1096507599880463,0.48054583549215046,0.24361483781503546
33,training,0.054835483,0.03350943746045232,0.15627066488503172,1.1290887515767616,0.48531397313700847,0.23740846215096376
34,training,0.020940764,0.04465910978615284,0.15627066488503172,1.1876148698039135,0.49892465783427553,0.222075659330256
35,training,0.039103523,0.04470170079730451,0.15627066488503172,1.2266069031926579,0.5075936601199557,0.21469978474771845
36,training,0.022720821,0.050939671695232384,0.15627066488503172,1.2853998792419274,0.5199534135664098,0.19958108165006666
37,training,0.04599338,0.038254452869296074,0.10446257791387291,1.3246038550221895,0.5276958720292567,0.18966498846136287
38,training,0.034049273,0.010551400482654565,0.10446257791387291,1.3442857749258976,0.5314189499909721,0.18362857446911726
39,training,0.030301265,0.019537465646862984,0.10446257791387291,1.3837210910198257,0.5385078216660275,0.1738140344064325
40,training,0.030031078,0.04485651082359255,0.10446257791387291,1.4033416385829551,0.5419340044324484,0.17107778824122752
41,training,0.0116226245,0.08272930048406124,0.10446257791387291,1.4626225302387434,0.5518236243705262,0.15808268111528145
42,training,0.018531032,0.12092343717813492,0.10446257791387291,1.5219062723580863,0.5608010287248361,0.14226368286826613
43,training,0.011231951,0.11358512938022614,0.06240072762616931,1.5815534631284844,0.5687853952255166,0.12313856938641655
44,training,0.030497035,0.08333628997206688,0.06240072762616931,1.6013282796982764,0.5711825123435305,0.11751167291793034
45,training,0.01328055,0.041009522043168545,0.06240072762616931,1.661186031027217,0.5777226986119363,0.09962474308959518
46,training,0.010443543,0.003320779651403427,0.06240072762616931,1.7208298701715874,0.5831947159007681,0.08446401219575701
47,training,0.024282273,0.02020457759499549,0.02378905070572828,1.7608869701383176,0.586409472613607,0.07559589251107306
48,training,0.009139285,0.0761197805404663,0.02378905070572828,1.8206237100301292,0.5904777125584252,0.05988191923294062
49,training,0.020170406,0.1276467964053154,0.02378905070572828,1.8807095665267548,0.5939194998280557,0.054947915898126656
50,training,0.02027234,0.16331885755062103,0.02378905070572828,1.9204177983996484,0.5962520974763009,0.06336077728206825
51,training,0.016478162,0.14231805503368378,0.02378905070572828,1.9602793485338281,0.5991281784725215,0.08172402088533062
52,training,0.015505185,0.13685830496251583,0.012484040378275605,1.99993862701919,0.6027266053181699,0.09909115082906547
53,training,0.029566329,0.1178886704146862,0.012484040378275605,2.019687515865989,0.6047718704565641,0.10550313265764755
54,training,0.011523262,0.11033202061662449,0.012484040378275605,2.07935874260209,0.611323089574175,0.11182314951851031
55,training,0.026216518,0.10799214569851755,0.012484040378275605,2.099195569216424,0.6135555650746235,0.11182699551196998
56,training,0.014841974,0.11184853408485651,0.012484040378275605,2.1388067543653295,0.6180284263397181,0.11224587342098954
57,training,0.0082912985,0.11681955307722092,0.012484040378275605,2.1786577127283007,0.6224987993958403,0.11013074992881038
58,training,0.012101934,0.03552702255547047,0.012484040378275605,2.21830160965564,0.6268084691419811,0.1064582337881837
59,training,0.02267269,0.1263342471793294,0.01277963975259051,2.2381693120268786,0.6289156187146078,0.10452533503380008
60,training,0.034171365,0.11327345203608274,0.01277963975259051,2.2780853346322707,0.6330286396198441,0.10106320123263692
61,training,0.009766772,0.1264781542122364,0.01277963975259051,2.317739039832522,0.6370443178039098,0.1019267592590551
62,training,0.0052153952,0.19823629409074783,0.01277963975259051,2.3574692464191083,0.6411971134707792,0.10748051733891126
63,training,0.01327425,0.22273262590169907,0.01277963975259051,2.3970737043119783,0.6456522681575597,0.11932989260814239
64,training,0.02025285,0.22872223705053332,0.01277963975259051,2.4364430693184134,0.6507848849282483,0.14004956902541826
65,training,0.03056268,0.2696845233440399,0.03312532313937559,2.4758932069033697,0.6567555573356602,0.15989044029876234
66,training,0.021712981,0.26227976009249687,0.03312532313937559,2.5152435746541855,0.6633625129384259,0.1723364248189618
67,training,0.014262568,0.18274473282508555,0.03312532313937559,2.554379445450923,0.6703819882629962,0.18162662921729525
68,training,0.017562333,0.175797738134861,0.03312532313937559,2.5936923552422857,0.6776480802876026,0.18224839826164044
69,training,0.012853069,0.13904882222414017,0.03312532313937559,2.6330026055461,0.6847785345116628,0.1763743688259016
70,training,0.0058417707,0.106850765645504,0.03312532313937559,2.6725102412870827,0.6916036615622841,0.16501327633624077
71,training,0.013835566,0.10174138844013214,0.08048977314769329,2.712171376563118,0.6978406900573657,0.1461688792134592
72,training,0.013329412,0.09368295967578888,0.08048977314769329,2.751769988804816,0.7032939570444416,0.12695962224378304
73,training,0.022176621,0.10539710521697995,0.08048977314769329,2.791735316540205,0.7080239079478633,0.10821861192463456
74,training,0.0049639354,0.10610720515251162,0.08048977314769329,2.831494134306894,0.7120032707404077,0.09224142665084534
75,training,0.0077735283,0.09099023789167407,0.08048977314769329,2.871444023153767,0.7154259954398304,0.0786268237030834
76,training,0.017668396,0.10321204364299771,0.08048977314769329,2.911538781844557,0.7183129076750918,0.06489019810079612
77,training,0.004015159,0.06269442290067674,0.09917045662433716,2.951353073252454,0.7206804723700152,0.05397952006661741
78,training,0.012834669,0.09805163368582726,0.09917045662433716,2.991491301487435,0.7226600211188053,0.044465871976306595
79,training,0.0050679217,0.05747871845960617,0.09917045662433716,3.031446622652077,0.7242761944511505,0.03671125575664287
80,training,0.023070818,0.06739335320889948,0.09917045662433716,3.0714057031931974,0.725613177216527,0.03031045380190579
81,training,0.004573399,0.035206522792577744,0.09917045662433716,3.1115942824218306,0.7267237347002862,0.025839961791073358
82,training,0.030562647,0.02212253212928772,0.0938615437795234,3.1514180133997955,0.7276416056173369,0.01798200890922829
83,training,0.0016151464,0.0016872957348823409,0.0938615437795234,3.1916152241417195,0.7280781974201894,0.0012028283195484992
84,training,0.0049729357,0.011705961078405387,0.0938615437795234,3.23185134536576,0.727744557243961,-0.016133532692892173
85,training,0.0040841466,0.033241808880120516,0.0938615437795234,3.291902045817162,0.7261557186726705,-0.03452041258973305
86,training,0.011917362,0.05032066628336906,0.0938615437795234,3.3119906696328116,0.7254407483195373,-0.03599694267457328
87,training,0.0041708834,0.004817169159650796,0.08262712279733747,3.37171934832769,0.7232870793065169,-0.03544752204600913
88,training,0.0064557744,0.04119103029370308,0.08262712279733747,3.3917656859480667,0.7225601099740486,-0.03795998299607115
89,training,0.0020142898,0.029841208830475807,0.08262712279733747,3.451761197117261,0.719899747099367,-0.053738869744991355
90,training,0.0015125931,0.011527421418577433,0.08262712279733747,3.4917527374564377,0.7175220086260141,-0.06490372626754373
