step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.12364621460437775,0.0,0.00018262915045762565,0.0005412279811139653,0.0032933273333151923
2,training,0.015602292,0.04139375686645508,0.0,0.0071791155590099475,0.000570304611386934,0.0034728903147472146
3,training,0.0013831385,0.11007872223854065,0.0,0.040020726603251365,0.0007963581942863345,0.018438886236245625
4,training,0.024836637,0.22573190927505493,0.0,0.0766123284175638,0.002369123258903395,0.07756759059036768
5,training,0.041021876,0.2228812277317047,0.0,0.11539462393569727,0.007270219522959432,0.1759909511883697
6,training,0.03818547,0.20736926794052124,0.0,0.153467109669144,0.015987212537468865,0.27288204246955067
7,training,0.028763266,0.2282782718539238,0.025102278138960776,0.190914865898821,0.02827612168622677,0.35890877380656594
8,training,0.02374048,0.07020616717636585,0.025102278138960776,0.24399066990708665,0.0516487223928608,0.4645839450744884
9,training,0.028936118,0.031483275815844536,0.025102278138960776,0.27938466959869784,0.07002290611166381,0.4878215918694452
10,training,0.028790772,0.08637898322194815,0.025102278138960776,0.3144730964779102,0.08891534879225677,0.4990843768288029
11,training,0.028225433,0.11570018902420998,0.024700128698808426,0.3319333747478075,0.09850548955111184,0.5060272756603829
12,training,0.032211244,0.09033937752246857,0.024700128698808426,0.36664361218531527,0.11809409470422551,0.5206049394528728
13,training,0.034713957,0.10520729050040245,0.024700128698808426,0.4182326961889089,0.14835968244973521,0.5410405495347681
14,training,0.040163517,0.07125944271683693,0.024700128698808426,0.4522311108440563,0.16909797349438113,0.5531017764659073
15,training,0.01277199,0.08083583600819111,0.024700128698808426,0.4692009653640499,0.17961514995872838,0.5565125263362606
16,training,0.04120781,0.10227338783442974,0.024700128698808426,0.5198744606320012,0.21150913929516404,0.5664591899552052
17,training,0.032718983,0.09106856677681208,0.036483088663289656,0.553457516275565,0.23296606043076376,0.5705059432076865
18,training,0.028337685,0.06041680835187435,0.036483088663289656,0.5871206248709264,0.2545767755097156,0.5699041710324148
19,training,0.025366833,0.05704279430210592,0.036483088663289656,0.6207706078223875,0.2760986886783709,0.5665690252775183
20,training,0.013791168,0.07269708404783158,0.036483088663289656,0.6546213344324956,0.2974842840444701,0.5602486734481527
21,training,0.02777772,0.09417491755448283,0.036483088663289656,0.6885180868298293,0.31868968996115765,0.5591627807005526
22,training,0.02055748,0.07588530331850052,0.055980707198473104,0.7223270004129595,0.3398484071854755,0.5583948447095617
23,training,0.010270435,0.07328617200255394,0.055980707198473104,0.7393280050402719,0.35045222453742436,0.5559916669027728
24,training,0.017633963,0.1164153665304184,0.055980707198473104,0.7733499266079521,0.37145816646407115,0.5501781993955591
25,training,0.011160332,0.12737677991390228,0.055980707198473104,0.8074815091474551,0.3922311815745794,0.5425306475289254
26,training,0.009330407,0.12526561319828033,0.055980707198473104,0.8418829438698732,0.4127779620228312,0.5344972634544048
27,training,0.007442064,0.14822623878717425,0.055980707198473104,0.8763485050885593,0.4330449537868551,0.5283524409589674
28,training,0.02250966,0.15376124158501625,0.055980707198473104,0.9109821028248912,0.45306212242488136,0.5190317746513156
29,training,0.029184893,0.1620340757071972,0.07411207959402409,0.9632773212415121,0.48248042545049885,0.5056529790074242
30,training,0.039215177,0.15372517332434654,0.07411207959402409,0.9984138325612958,0.5016778822558774,0.4938468016360537
31,training,0.005902473,0.18382754921913147,0.07411207959402409,1.0336748956302737,0.5204538305598276,0.4853471214103628
32,training,0.008783974,0.21937121450901031,0.07411207959402409,1.0514033054598182,0.5297701911935229,0.4823676313934702
33,training,0.010539891,0.22545593604445452,0.07411207959402409,1.104745637870223,0.5573428610316397,0.47148414342402567
34,training,0.012353856,0.22448302060365677,0.08061086616111708,1.14036035635971,0.575382384105501,0.4657741384314158
35,training,0.02581891,0.2219884917140007,0.08061086616111708,1.1762434752288322,0.5932519438578703,0.45716435254535265
36,training,0.011767192,0.2657815460115671,0.08061086616111708,1.2121137594550315,0.6107416502363875,0.45110340432247825
37,training,0.029832283,0.27494712173938757,0.08061086616111708,1.2482027148599486,0.628123474026615,0.4464094743984462
38,training,0.011610655,0.3190211281180382,0.08061086616111708,1.2662914257520943,0.6367498646154778,0.44283088418514366
39,training,0.017157018,0.26310858875513077,0.08061086616111708,1.3024024168220356,0.6537089022186041,0.4353676306980733
40,training,0.010674585,0.2733328714966774,0.08061086616111708,1.338805373621135,0.6704622568453235,0.42612300398579056
41,training,0.014187188,0.253153920173645,0.07462400035125637,1.3754564290377251,0.6868091921035346,0.41206472777179715
42,training,0.018622333,0.24106182903051376,0.07462400035125637,1.4121381332124083,0.7025367401507829,0.39695093412592136
43,training,0.025749836,0.24737978726625443,0.07462400035125637,1.4494046064358748,0.71777799309068,0.3787081241750198
44,training,0.011328416,0.2929290160536766,0.07462400035125637,1.4867247570447344,0.7321926828840207,0.3582508290448427
45,training,0.011186179,0.30423101782798767,0.07462400035125637,1.5244278805237286,0.7458712039003877,0.3378819931147288
46,training,0.014553763,0.2686115801334381,0.07462400035125637,1.562562576324302,0.7588601856952454,0.320201232687628
47,training,0.03010518,0.2602888904511929,0.11713334048821039,1.6005333522774565,0.7711349804542068,0.3055087208705846
48,training,0.012990895,0.3629797222092747,0.11713334048821039,1.6388332909747236,0.7828077708211141,0.2754898398162875
49,training,0.021308113,0.36468206346035,0.11713334048821039,1.6777443991192649,0.7925778437048931,0.21327791347065303
50,training,0.014644308,0.35849667340517044,0.11713334048821039,1.7176077693286762,0.7996594113170006,0.13982147332428121
51,training,0.016640663,0.25553496927022934,0.11713334048821039,1.757775263049245,0.803983178053177,0.07695998924098797
52,training,0.023585193,0.2960701063275337,0.14968081314887363,1.7980269742130697,0.8060304674575579,0.02953790796451315
53,training,0.008943273,0.23749657347798347,0.14968081314887363,1.838142712818605,0.806487771614063,-0.008621719700274075
54,training,0.014155233,0.2456229068338871,0.14968081314887363,1.8783765035449078,0.8053126716258052,-0.04814734354612213
55,training,0.017869186,0.20016227290034294,0.14968081314887363,1.918696183730592,0.8026502904862048,-0.08465332942479704
56,training,0.016082516,0.15892700105905533,0.14968081314887363,1.9785657498467626,0.795977650523979,-0.13477902820200507
57,training,0.012783551,0.18072442337870598,0.14215870891283738,2.018363892384618,0.7901130100996794,-0.15577767308839877
58,training,0.018769272,0.14193835482001305,0.14215870891283738,2.0775134907420187,0.7802576408783968,-0.1738641766774591
59,training,0.014001181,0.009665381163358681,0.14215870891283738,2.097275656302828,0.7767319881134644,-0.17897177617367144
60,training,0.015714223,0.006662413477897642,0.14215870891283738,2.1366375441694654,0.7694683139398524,-0.1856530675746664
61,training,0.0029611145,0.040050957817584276,0.14215870891283738,2.1954774958491434,0.7581545351502643,-0.19309869431180252
62,training,0.030937327,0.005283018108457327,0.098455411612015,2.234711183240651,0.7504727230825212,-0.19354961148862448
63,training,0.005507111,0.10171618312597275,0.098455411612015,2.2738570072248283,0.7427953087665654,-0.1946191097256977
64,training,0.027276894,0.11510186642408371,0.098455411612015,2.293509334439582,0.738894146210786,-0.1974776579342615
65,training,0.0029488422,0.008600614964962006,0.098455411612015,2.352307562733821,0.7270275845046802,-0.1992943471421957
66,training,0.013416096,0.026335811242461205,0.098455411612015,2.411020128464524,0.7151124204013172,-0.20090832824586224
67,training,0.005742088,0.11635000631213188,0.098455411612015,2.430571114987508,0.7111537365049848,-0.19741628134910502
68,training,0.005433923,0.12815618887543678,0.07056784809881365,2.4696730723614033,0.7035533715983341,-0.18785124485897406
69,training,0.001743007,0.008804082870483405,0.07056784809881365,2.5089645305722894,0.696265929636282,-0.17846530995303966
70,training,0.009161606,0.019304659217596047,0.07056784809881365,2.548263498890855,0.6894235418850198,-0.16679866734894452
71,training,0.008441737,0.0663954121991992,0.07056784809881365,2.5875292765362428,0.6829856514490618,-0.15831516844025792
