step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228453,0.2907421635463833,0.0,0.00018317050056676325,0.0005428127273926019,0.0033031732132890314
2,training,0.08507032,0.276740450412035,0.0,0.02107593346255701,0.0006236857514173464,0.0038024659284282966
3,training,0.07842023,0.2691297344863415,0.0,0.06082469697269409,0.0008335515160235079,0.007753662906705442
4,training,0.07702846,0.3009636923670768,0.0,0.10065246966035776,0.0012990987641302097,0.01609433020145888
5,training,0.070240796,0.24991737306118011,0.0,0.14072719274058262,0.0021737234850339143,0.02226112079007362
6,training,0.05922944,0.26433289051055914,0.0,0.16056706554779604,0.0028147028235099396,0.036168615906918916
7,training,0.055543896,0.2810031473636627,0.0,0.2002371385794339,0.004612704787289886,0.05537333075987878
8,training,0.04868766,0.21119731664657587,0.012199405985666094,0.2400798744766012,0.007286351842615423,0.07972864596010032
9,training,0.038768,0.15231576561927795,0.012199405985666094,0.2796254427462074,0.010961800448839706,0.10730388731312586
10,training,0.026921228,0.08645832538604742,0.012199405985666094,0.31900805555672607,0.01586871139418847,0.1417890669926303
11,training,0.021301355,0.12866340577602386,0.012199405985666094,0.35820704595077046,0.02220606484974163,0.17946079312929603
12,training,0.015776042,0.04072755575180054,0.012199405985666094,0.39704120355808603,0.030077506767173922,0.22225382074456457
13,training,0.009248047,0.06555956602096555,0.012199405985666094,0.4353473718194676,0.03968570391437234,0.2699211319767035
14,training,0.0032029739,0.053626567125320435,0.0287285454419305,0.47319541247262487,0.05119983444536611,0.32264431792839376
15,training,0.0017744356,0.1850898861885071,0.0287285454419305,0.5103885121862332,0.06478833767183777,0.382445610612322
16,training,0.018479738,0.3208714872598648,0.0287285454419305,0.5639679811338973,0.08940433473860704,0.48082422554227144
17,training,0.07398327,0.34217385947704315,0.0287285454419305,0.598238968925018,0.10882848978867664,0.5506114318776263
18,training,0.08006221,0.3213568441569805,0.01549954019842288,0.6309738122188189,0.13061777467722419,0.6264229996277773
19,training,0.026693776,0.23855729401111603,0.01549954019842288,0.7045652119595273,0.19548298666787925,0.8176039078974494
20,training,0.049318783,0.20942653343081474,0.03458859338368059,0.7425648943069364,0.2401198917495192,0.9103963375901901
21,training,0.044359136,0.2182333441451192,0.03458859338368059,0.7658542775336283,0.2719289879471504,0.9649426529212678
22,training,0.027329788,0.22739047929644585,0.03458859338368059,0.787702419576454,0.30505121277810276,1.0085242162272487
23,training,0.02153334,0.25242315232753754,0.11605273865443046,0.8081667816916499,0.33900833452766377,1.0463247261383055
24,training,0.03807246,0.2941729724407196,0.11605273865443046,0.8179631004021236,0.3562267636573683,1.0567460981637022
25,training,0.039930627,0.5629288256168365,0.11605273865443046,0.8381817680685776,0.39102107360227295,1.0293477418508916
26,training,0.054474097,0.600201889872551,0.11605273865443046,0.8485766895243962,0.40798922428045414,1.0083405809023
27,training,0.110544756,0.6726098954677582,0.11605273865443046,0.8713199783710078,0.4410166692342209,0.9210510296476326
28,training,0.026404046,0.6467223092913627,0.11605273865443046,0.8840133595578872,0.4568919832335374,0.869855395245905
29,training,0.05091416,0.5956559404730797,0.21492934896721155,0.9119967804242103,0.48655379552599054,0.7592791106397386
30,training,0.08407603,0.5272959545254707,0.21492934896721155,0.9271981733164264,0.5002297142648796,0.7056792075460503
31,training,0.07648667,0.4703938663005829,0.21492934896721155,0.9596032569764088,0.5252370188528133,0.6112259253742108
32,training,0.023905654,0.4558297842741013,0.21492934896721155,0.9937994619797756,0.5471686645949586,0.530321879297843
33,training,0.059033293,0.4168865233659744,0.2405150684858191,1.0294738746050194,0.5662916338449044,0.45461821513680006
34,training,0.07635484,0.36984383314847946,0.2405150684858191,1.0664611581263683,0.5828039797182859,0.38577104760220876
35,training,0.08290267,0.32304494082927704,0.2405150684858191,1.1045532600630743,0.5969152202596367,0.3254577362226478
36,training,0.037364267,0.29161346703767776,0.2405150684858191,1.1429819772640408,0.6087467111348479,0.2727661532574551
37,training,0.059473358,0.2727249264717102,0.23363543904186979,1.1821341742253744,0.6187403101357319,0.22734651427237584
38,training,0.121695176,0.2496350631117821,0.23363543904186979,1.2215325509185988,0.6270536214187986,0.18847540623459078
39,training,0.076070935,0.22379417717456818,0.23363543904186979,1.2612614834233633,0.6338737448199069,0.15106310103814577
40,training,0.07446441,0.19872797280550006,0.23363543904186979,1.3010628988088169,0.6392452387825952,0.1184319056306097
41,training,0.09766626,0.18458881974220276,0.23363543904186979,1.341144736788569,0.643455573899774,0.09153703392899169
42,training,0.03698499,0.16542910784482956,0.23363543904186979,1.3811222394965958,0.6466142301503827,0.06687485491659928
43,training,0.065263644,0.13693669065833092,0.17254983364380008,1.4211189959353612,0.6488694414999344,0.04618205185357846
44,training,0.051434487,0.11419789120554924,0.17254983364380008,1.4614000786385193,0.650357607083784,0.02917215694480538
45,training,0.090345755,0.0948512926697731,0.17254983364380008,1.501294592872782,0.6512566083547701,0.016510667944992233
46,training,0.094024494,0.0829705148935318,0.17254983364380008,1.5414086057227887,0.6516993918649953,0.005727984929433632
47,training,0.044151105,0.06380563415586948,0.17254983364380008,1.6014655905672035,0.6516119254541615,-0.008569267794278376
48,training,0.055015367,0.04410007782280445,0.08833814065844257,1.6415293448512542,0.6511021581462886,-0.01693753753309245
49,training,0.061806455,0.041145521216094494,0.08833814065844257,1.7015471798865391,0.6497998628665484,-0.025995845818984144
