step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228453,0.2778702247887849,0.0,0.0001848038526929656,0.0005475943415973058,0.0033328810831528255
2,training,0.077726014,0.24945567920804024,0.0,0.011882824571181769,0.0005931174790847895,0.0036139231693295207
3,training,0.05936235,0.20252715796232224,0.0,0.04962579141738805,0.0008052146153968541,0.009972907242936252
4,training,0.05026389,0.22376325726509094,0.0,0.08930789244385169,0.0015301901458541652,0.02697283822690804
5,training,0.038251445,0.16771529614925385,0.0,0.1291997181656845,0.003049884516706045,0.05030146870657514
6,training,0.02822558,0.21159265935420984,0.0,0.14902898944915946,0.004160714363088958,0.06331606838994586
7,training,0.020106073,0.10622711479663849,0.0,0.18852639401550692,0.007315450395756461,0.09802443051066599
8,training,0.010750631,0.039345949888229426,0.02993115471068231,0.2279207641601351,0.012007205454913338,0.14070197457193556
9,training,0.0049420884,0.043314814567565946,0.02993115471068231,0.26693547035325266,0.018439849804517707,0.18809516403280463
10,training,0.0011661394,0.10250937938690183,0.02993115471068231,0.30563670903514506,0.026889612073744133,0.243794015696848
11,training,0.003773546,0.13239748775959018,0.02993115471068231,0.34351099599221246,0.03751708205449591,0.3039499070797106
12,training,0.0048723714,0.24485895037651062,0.01793514842619034,0.39923385110395343,0.05796131916232042,0.40134621094723294
13,training,0.04205161,0.3332273829728365,0.01793514842619034,0.43480754850432707,0.07449003075822014,0.4691193400158888
14,training,0.025871359,0.29670290276408195,0.01793514842619034,0.48594423646631696,0.10392748725612486,0.5755194171851793
15,training,0.03588687,0.21640611812472343,0.02261286622162569,0.5339856174867081,0.13853718422264127,0.6732667415293294
16,training,0.029007038,0.17777518625371158,0.02261286622162569,0.5785414457961928,0.1773826004741043,0.755461178161156
17,training,0.03715664,0.19688288122415543,0.07658661542526392,0.6069865270766419,0.20526159285949913,0.7928473270790484
18,training,0.028690035,0.24550313502550122,0.07658661542526392,0.6207123483248661,0.21944037659571217,0.8092035991687984
19,training,0.030061804,0.2804851084947586,0.07658661542526392,0.6342795506867265,0.23385921290130823,0.8221856459322757
20,training,0.021697689,0.3078473284840584,0.07658661542526392,0.6611552166025128,0.26336279703665966,0.841200473870699
21,training,0.045611933,0.32955625653266907,0.07658661542526392,0.7004155825377091,0.308340810712274,0.865705597623672
22,training,0.022581756,0.30231984704732895,0.07658661542526392,0.713254417513413,0.32356408089658784,0.8745438863921188
23,training,0.024843112,0.33135129511356354,0.07658661542526392,0.7385602603276442,0.3543426695421164,0.8897992292532857
24,training,0.024587046,0.32323869317770004,0.07658661542526392,0.7634448339967311,0.385503756694872,0.9042899300184035
25,training,0.059207037,0.30547402054071426,0.07658661542526392,0.7756967576092683,0.4012080181341476,0.9122470512919384
26,training,0.041900363,0.3030121177434921,0.18830451653034022,0.7998265512128322,0.4328749444280535,0.9258345703764995
27,training,0.049834356,0.6059541665017606,0.18830451653034022,0.823989812513267,0.4647780201008966,0.9044433797910776
28,training,0.03110072,0.5985311865806578,0.18830451653034022,0.8500565822060785,0.49582074826074685,0.8247722446996428
29,training,0.05022906,0.5342772267758846,0.18830451653034022,0.8794066106791726,0.5243650317340617,0.7145821361569138
30,training,0.09515494,0.5061752609908581,0.26526330244946783,0.9114828151233237,0.5493987578284686,0.6116694073870199
31,training,0.081722684,0.4643751820549369,0.26526330244946783,0.9459706446715878,0.5711399164567476,0.5133462124682441
32,training,0.047901545,0.3629133198410272,0.2876464039697458,0.9823737732539026,0.5895311919576556,0.4228051106200565
33,training,0.08049778,0.3699366357177496,0.2876464039697458,1.0199950470653485,0.6047459710812456,0.34918968901693975
34,training,0.100666165,0.30953159369528294,0.2876464039697458,1.0584489745236068,0.6172806748607625,0.280371972478133
35,training,0.06594323,0.2847771067172289,0.29308575454247643,1.0977367909507505,0.627248360406238,0.21912476774219863
36,training,0.07407747,0.23576775006949902,0.29308575454247643,1.1374074344015361,0.6350205394389039,0.16801248473680064
37,training,0.052278586,0.1635887436568737,0.29308575454247643,1.1773049045576196,0.6408054982434149,0.12112815093946626
38,training,0.059621282,0.13515243027359247,0.29308575454247643,1.2171926836421334,0.6448815098327533,0.08614631672492121
