step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252418,0.2894627191126347,0.0,0.00018543705708978092,0.0005494480968535402,0.003344398408887445
2,training,0.07933217,0.2382713258266449,0.0,0.0044971823710474495,0.0005698064861973894,0.0034701756308160134
3,training,0.06278075,0.22229907661676407,0.0,0.03683860625449559,0.000708417412879141,0.007370347239826366
4,training,0.048212767,0.1982167363166809,0.0,0.07657172928587797,0.0012955570253053764,0.02433071335412537
5,training,0.032742202,0.13108788430690765,0.0,0.11635596508071913,0.0027178541337974076,0.04898744248864554
6,training,0.023047246,0.16856700181961065,0.0,0.15602147130331787,0.005241491284146815,0.07960121237100493
7,training,0.013062139,0.07450699806213379,0.0,0.1954003546015184,0.009147014955002017,0.12058211573290072
8,training,0.0050629694,0.012943238019943237,0.009326906237438544,0.23454201118044346,0.014833399775608762,0.16907344319270814
9,training,0.0024523344,0.1201360672712326,0.009326906237438544,0.2733575824483152,0.022511402453266393,0.22271332254116302
10,training,0.0037187496,0.125406414270401,0.009326906237438544,0.3116440560219141,0.032371132205499975,0.2847129479851199
11,training,0.0083082635,0.20775891840457916,0.009326906237438544,0.3488981138975813,0.04467031195088856,0.3544679287477168
12,training,0.013249304,0.2607821524143219,0.006278074072996051,0.38540829701061147,0.05972113448848526,0.4288236831807971
13,training,0.017537773,0.32977868616580963,0.006278074072996051,0.437320079273926,0.08723329135886095,0.5484160536485676
14,training,0.03237646,0.30820392072200775,0.006278074072996051,0.46987816709001046,0.10900113098854212,0.6301179423061901
15,training,0.05448226,0.24716316163539886,0.03730925717548374,0.5007250057744752,0.13343138243137234,0.7094975399390023
16,training,0.056710485,0.2508097409736365,0.03730925717548374,0.5297875702698316,0.1602087966594906,0.7776732066381552
17,training,0.01822872,0.24892674386501312,0.03730925717548374,0.5569310302929009,0.1883285707852082,0.8265489873098484
18,training,0.015234444,0.2045639455318451,0.03730925717548374,0.5832034154506196,0.21806752684838726,0.8650326411403245
19,training,0.03807556,0.25467605888843536,0.09500230243542238,0.5959828869278823,0.23330031820009822,0.8795367929797275
20,training,0.037280828,0.3041483536362648,0.09500230243542238,0.6208947577471317,0.2642259564763729,0.9046553031644072
21,training,0.025890788,0.3157855272293091,0.09500230243542238,0.6451280871789672,0.2957616466996028,0.9251885108768219
22,training,0.029901344,0.31792832911014557,0.09500230243542238,0.6688508474236402,0.32784387493964284,0.9426183462516404
23,training,0.043305684,0.3008449375629425,0.09500230243542238,0.6919601698441996,0.36028857860601,0.960658508379779
24,training,0.06554641,0.3145800493657589,0.09500230243542238,0.7145001355563345,0.393034644093504,0.974393186479245
25,training,0.038701773,0.3119663707911968,0.09500230243542238,0.7367725737925572,0.42626967237187746,0.9864771852949631
26,training,0.036921952,0.32281228899955744,0.23206477724899718,0.7585040450264252,0.45959016547339904,0.9976958730830152
27,training,0.0656615,0.4159727804362774,0.23206477724899718,0.780195425992663,0.49324756014047566,0.9846949892234182
28,training,0.08629027,0.6515848394483328,0.23206477724899718,0.8034922322768989,0.5262205372570542,0.9215347068560804
29,training,0.112028874,0.6224062219262123,0.23206477724899718,0.8298699499320942,0.5581610369116055,0.8294012809047779
