step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252416,0.27664400637149816,0.0,0.00018506997860332983,0.000548373441955515,0.0033377216061756688
2,training,0.07244856,0.21260778605937958,0.0,0.007181838886328127,0.0005777812828463043,0.0035193291198875537
3,training,0.04802805,0.163760244846344,0.0,0.042182539375021234,0.000760590336229116,0.011200899712784245
4,training,0.03038608,0.1419519186019898,0.0,0.08182158181721241,0.0016549313709679071,0.03619367712323198
5,training,0.015595486,0.08993791043758392,0.0,0.12150305743159885,0.0037866009843549476,0.07282401884093286
6,training,0.0069573773,0.057570099830627386,0.0,0.14125812666944987,0.005451850909223582,0.0958185389335212
7,training,0.0011282114,0.019899755716323797,0.0,0.18070993363074567,0.010206643156239427,0.1461221955781019
8,training,0.00049763743,0.005802631378173773,0.0,0.21952376079150016,0.017117761922274773,0.20802620927652704
9,training,0.006439515,0.214507058262825,0.016009533790052013,0.2577081411726498,0.026478708316783152,0.2746239547647253
10,training,0.013808228,0.27408722043037415,0.016009533790052013,0.2953549821692061,0.03857687893892128,0.3503028169062981
11,training,0.036733694,0.3390798717737198,0.016009533790052013,0.3315351549781597,0.05337354468139699,0.4312257968459936
12,training,0.026346315,0.2848658412694931,0.03233733873426731,0.3664877512724468,0.07126422397312034,0.51628162878065
13,training,0.06069176,0.30323435366153717,0.03233733873426731,0.4158490838196966,0.10348602410585879,0.6385197175212582
14,training,0.037030194,0.1844732016324997,0.03233733873426731,0.46085888776287925,0.14114852561637503,0.7539055479074169
15,training,0.023394741,0.13199787959456444,0.06383537288918045,0.5020251002479281,0.18360258414931768,0.8390600829789853
16,training,0.024372255,0.17097988352179527,0.06383537288918045,0.5275216454457139,0.2134344429328007,0.8851454202816452
17,training,0.03208884,0.18518545478582382,0.06383537288918045,0.5399178775835823,0.22889029315240192,0.9032704712897807
18,training,0.036735114,0.2558675892651081,0.14378295758521195,0.5521753484137756,0.2446350901641304,0.9140493778667353
19,training,0.02599027,0.3125119172036648,0.14378295758521195,0.5767281178824126,0.27637067078298827,0.8973754376481844
20,training,0.03592322,0.5494492538273335,0.14378295758521195,0.602470110207081,0.30718326562176845,0.8494430532994515
21,training,0.03184407,0.48631123453378683,0.14378295758521195,0.6307329824703716,0.3367138192552057,0.7579129012260925
22,training,0.07095133,0.4363066479563713,0.14378295758521195,0.6457762996865067,0.3503340289453694,0.7088768605112935
23,training,0.0917429,0.3436831682920456,0.1980822846355924,0.6944228710327986,0.3869501996708456,0.5843694654444717
24,training,0.077636,0.30602519586682325,0.1980822846355924,0.7290973271595959,0.40818333120764916,0.5180781129751292
25,training,0.034679517,0.27859968319535255,0.1980822846355924,0.7468522519496577,0.41796901108473133,0.489663532273641
26,training,0.07228121,0.21352975815534592,0.21253929364603863,0.8012544220751807,0.4442456849872134,0.4125632545290936
27,training,0.07194373,0.2000654265284538,0.21253929364603863,0.8197587557326236,0.45214253766557994,0.3943643815479032
28,training,0.042826258,0.17510540038347247,0.21253929364603863,0.8573561021278254,0.46703426929461295,0.36025693289220745
29,training,0.03390537,0.16830486431717873,0.21253929364603863,0.8950652814883147,0.480565010531054,0.3299384553544415
30,training,0.06645791,0.10984078049659728,0.21253929364603863,0.9525973838658993,0.4989512327019661,0.28912724359589537
31,training,0.052836534,0.10207163169980048,0.21253929364603863,0.9910194073943803,0.5100049505283145,0.27219868996586305
32,training,0.025451288,0.1358568286523223,0.19548835158143385,1.0103103429674207,0.5153066905884535,0.26420362121409885
33,training,0.07724784,0.12430273834615946,0.19548835158143385,1.0686761281864376,0.5302159112611092,0.23364850926792924
34,training,0.07099041,0.10560273565351963,0.19548835158143385,1.1077873114574852,0.5390656898612264,0.21071901877288415
35,training,0.034622267,0.07965503190644085,0.19548835158143385,1.147134448314403,0.5470522690608309,0.1902186921465468
36,training,0.061305277,0.019203361123800285,0.19548835158143385,1.206315948374542,0.5577562120216463,0.16690781474617733
37,training,0.052922666,0.04304506629705429,0.141206432717818,1.245806279683597,0.5641736431953022,0.15629005320168393
38,training,0.042212173,0.04816775373183191,0.141206432717818,1.2853135452021949,0.5703041032165809,0.1536219010164219
39,training,0.044100225,0.019820131361484528,0.141206432717818,1.3445926095970728,0.5794626550742266,0.15255532774349684
40,training,0.028850634,0.001631004735827446,0.141206432717818,1.4038897957472487,0.5885186599856694,0.14861391724128065
41,training,0.0352235,0.02611693646758794,0.141206432717818,1.443470802590714,0.5943277763729137,0.14296019765262896
42,training,0.03279761,0.05215341039001942,0.08901291560024455,1.502875349651534,0.6026783914652164,0.13494923928188865
43,training,0.024616718,0.13191980496048927,0.08901291560024455,1.5623268057814748,0.6103691874002543,0.12257413270798989
44,training,0.054043263,0.13706445693969727,0.08901291560024455,1.6022128936084448,0.6149973232933174,0.1061873925109691
45,training,0.053351384,0.14294639229774475,0.08901291560024455,1.6421742098740104,0.6188547097553361,0.08635438235896642
46,training,0.020001203,0.11015549302101137,0.08901291560024455,1.682016109951073,0.6219561859724729,0.0687521142087527
47,training,0.042034235,0.09176481701433659,0.04344857460674275,1.7422100560707916,0.6254072180385946,0.04677524577748257
48,training,0.029401533,0.06438990868628025,0.04344857460674275,1.801991421913056,0.6278277563231697,0.04239228045196041
49,training,0.025301848,0.06280451826751232,0.04344857460674275,1.8618720400191562,0.6305697358298964,0.049121461720725824
50,training,0.018721474,0.06931272707879543,0.04344857460674275,1.9017607824572709,0.6326092248311509,0.05286866342520483
51,training,0.023274254,0.1045613307505846,0.032892321931756494,1.9418159934037271,0.634793602824793,0.05631284432273074
52,training,0.03303456,0.17569145560264587,0.032892321931756494,1.981498562161252,0.6371363778809241,0.06175610772443726
53,training,0.011073131,0.19425921142101288,0.032892321931756494,2.021425829916284,0.6397811045435534,0.07240026869403042
54,training,0.02569707,0.19692225754261017,0.032892321931756494,2.04137476991613,0.6412862979669303,0.07872103087106327
55,training,0.028706681,0.21441010385751721,0.032892321931756494,2.080926454200402,0.6447012320948443,0.0935757794023119
56,training,0.020913552,0.1728280819952488,0.032892321931756494,2.1206616456473517,0.6487331457514506,0.10863605576616261
57,training,0.037285317,0.1638481728732586,0.032892321931756494,2.160346993680747,0.6533135222674407,0.12044210527036042
58,training,0.011543882,0.18021356686949733,0.04303173492270308,2.1997757315136663,0.6583345294994659,0.1320596106474019
59,training,0.025139231,0.1997552001848817,0.04303173492270308,2.278852325804637,0.6694463711876507,0.1458695152852662
60,training,0.018943358,0.16964453249238431,0.04303173492270308,2.3183616277295997,0.6753599762499561,0.15066047602321384
61,training,0.020382725,0.16468901373445985,0.04303173492270308,2.357935567297908,0.6813997131155588,0.151024293984388
62,training,0.020314679,0.1610195282846689,0.04303173492270308,2.3776083020888317,0.6843962168433004,0.15104412359358324
63,training,0.022729356,0.15436882525682447,0.08054589945719311,2.4171238318493393,0.6903894241864555,0.1487186748833641
64,training,0.019996129,0.138006541877985,0.08054589945719311,2.456795463378181,0.6962073142786008,0.1411824758446367
65,training,0.016024664,0.13364963233470917,0.08054589945719311,2.4963124014593903,0.7016603405409696,0.13304387626278022
66,training,0.032520395,0.1386454626917839,0.08054589945719311,2.5361091849328252,0.7068136865852825,0.12419878361061584
67,training,0.03262455,0.15377753227949145,0.08054589945719311,2.5758339859727237,0.7115624486923436,0.11412118719097798
68,training,0.016303027,0.15952498838305476,0.08054589945719311,2.6155382402325533,0.7159748269153718,0.10729608726301267
69,training,0.014266095,0.16272733733057976,0.11542197173154063,2.655466217051526,0.7201590909817766,0.10118971993439865
70,training,0.009181077,0.15015337243676186,0.11542197173154063,2.6947892387168544,0.723806304554772,0.07706608823125517
71,training,0.008634298,0.13843756122514606,0.11542197173154063,2.7350373081186916,0.7262136154252188,0.042523817962716974
72,training,0.022877559,0.12236508261412382,0.11542197173154063,2.7753043502190247,0.7273049418171826,0.012906780278691753
73,training,0.036437716,0.09532933682203294,0.11542197173154063,2.815363264606173,0.7272762455111025,-0.013688835426154492
74,training,0.010871103,0.09111654013395311,0.12311795520709477,2.8956423588646856,0.7244440950456361,-0.055185428228975625
75,training,0.014983862,0.073896917514503,0.12311795520709477,2.9557790960780492,0.7202460175978336,-0.08409203553841488
