step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228453,0.28986310306936497,0.0,0.00018380363139081698,0.0005446661826076779,0.0033146885879471307
2,training,0.084751874,0.2755203191190958,0.0,0.006635044343733097,0.0005720628799983868,0.0034838872935724027
3,training,0.08437301,0.2964490838348865,0.0,0.04129990582430545,0.0007161057539702257,0.006113581846154645
4,training,0.07519089,0.2666649669408799,0.0,0.08107390707731263,0.0010971037382637727,0.014052927624669486
5,training,0.06644423,0.2489349395036698,0.0,0.12102303987706287,0.0018856610959781007,0.026405700022119737
6,training,0.05841236,0.2351609691977501,0.0,0.16094886599924763,0.0032259624525020993,0.042092913884203415
7,training,0.05256224,0.26854766905307775,0.0,0.20058954462867634,0.005298832276068512,0.06321770567683355
8,training,0.044659957,0.21699184179306025,0.011232377485759412,0.24039083936500075,0.008299218894470299,0.08801079012476629
9,training,0.034018826,0.13467872142791748,0.011232377485759412,0.27992910138548366,0.012307232015092982,0.11544521047471538
10,training,0.022787577,0.08783628046512604,0.011232377485759412,0.3192716791819605,0.017533300435815333,0.14995467897785825
11,training,0.016484547,0.027731910347938593,0.011232377485759412,0.3584051877474685,0.02418815137764429,0.18755255300372
12,training,0.011545389,0.015240281820297297,0.011232377485759412,0.3971598961522036,0.032376606604528645,0.23107722178547388
13,training,0.004508028,0.042336851358413696,0.011232377485759412,0.43535430409304504,0.04232530157888857,0.27877895890166676
14,training,0.0044091763,0.1355753093957901,0.0335616490545175,0.47314101228447414,0.05414335023090952,0.32850878188253996
15,training,0.0047235657,0.1713925004005432,0.0335616490545175,0.5103197968472604,0.06790808562437146,0.38444083322064443
16,training,0.0073598903,0.2154112607240677,0.0335616490545175,0.5462802199454115,0.08372397078835396,0.44523477519942883
17,training,0.0069579827,0.24877309799194336,0.0335616490545175,0.5813667261229104,0.10184574191632924,0.5086812882892221
18,training,0.05511178,0.35291506070643663,0.00930642485636914,0.6152023243560898,0.12214742011712534,0.5732398902481038
19,training,0.045353945,0.2900511734187603,0.00930642485636914,0.6474413046316811,0.14458533518141903,0.6443287366782141
20,training,0.0036553994,0.2595223905518651,0.00930642485636914,0.6926775313720059,0.18245472975793717,0.7470280338997309
21,training,0.052112572,0.2834750823676586,0.030735745606848216,0.721016227509906,0.2101740301341973,0.800751075430851
22,training,0.07817775,0.2720745801925659,0.030735745606848216,0.747700120633344,0.23911403828433608,0.8493939268793874
23,training,0.03394792,0.2803311347961426,0.030735745606848216,0.7732636253418637,0.2694113490831348,0.8880990572726563
24,training,0.06125353,0.3136010318994522,0.030735745606848216,0.7856678431920352,0.2849291630199661,0.9037502643506018
25,training,0.023140028,0.30450544506311417,0.030735745606848216,0.8098279291730015,0.31651582871515566,0.9317803019331117
26,training,0.035075575,0.3080449029803276,0.030735745606848216,0.833065744511539,0.34868188052514726,0.9573139561116678
27,training,0.035311554,0.3160296604037285,0.14914684585999624,0.8556341398128928,0.38152487069146307,0.9798392943640166
28,training,0.07949664,0.6361562833189964,0.14914684585999624,0.8773886620050276,0.41465248144294337,0.9893130627997491
29,training,0.036627654,0.6243521571159363,0.14914684585999624,0.9006138100269425,0.4477892478474449,0.9135865274110693
30,training,0.080243,0.5708656162023544,0.14914684585999624,0.9272142061749757,0.4787147969642463,0.8068213001182236
31,training,0.09023027,0.5007546171545982,0.22371065257641032,0.9570181537813127,0.5067562284894824,0.7044314584543051
32,training,0.02717299,0.46002842485904694,0.22371065257641032,0.9892631469177876,0.5316648482782612,0.6130705451442555
33,training,0.05355494,0.4284039214253425,0.22371065257641032,1.023378157792905,0.5535534195498931,0.5293619108462424
34,training,0.06838851,0.4299172908067703,0.24790442573429747,1.0590607418141138,0.5726641930408124,0.4554876162246446
35,training,0.05420519,0.38155506551265717,0.24790442573429747,1.0961952317997614,0.5892818008825519,0.3852793993056426
36,training,0.05831002,0.305663637816906,0.24790442573429747,1.1534333422263392,0.6091928640972482,0.2864145727661498
37,training,0.07969968,0.2639171779155731,0.2325570506290169,1.1730064547976353,0.6145726056725865,0.2523574757503496
38,training,0.043057457,0.22356438636779788,0.2325570506290169,1.2123149401172917,0.6237511655843178,0.20843390531926254
39,training,0.10520581,0.2042926512658596,0.2325570506290169,1.251881018583926,0.6313738432452559,0.17284075762625203
40,training,0.06545933,0.1880250871181488,0.2325570506290169,1.2915858275457894,0.6376143726431607,0.1401715333040378
41,training,0.045164622,0.17533250898122787,0.2325570506290169,1.3314085032492344,0.6426695118577171,0.11287833369490005
42,training,0.04108657,0.1576516032218933,0.2325570506290169,1.3714949900197495,0.6466935257764467,0.08708920846735886
43,training,0.0545761,0.14274052157998085,0.1690701672488854,1.4313640278982829,0.6509199448392452,0.05521408580492563
44,training,0.034319423,0.12805534899234772,0.1690701672488854,1.4716438189274348,0.6527620979669393,0.03670146737147708
45,training,0.036578946,0.09940549358725548,0.1690701672488854,1.5115573556243203,0.6538902089609078,0.020196226755028013
46,training,0.056968533,0.08863018825650215,0.1690701672488854,1.5718386726270828,0.654498504177573,0.001483157259374996
47,training,0.0825555,0.07793519645929337,0.09317091841251465,1.6117575108355542,0.654370639141586,-0.0077477672820573315
48,training,0.07274054,0.0737101212143898,0.09317091841251465,1.651826368520199,0.6538866447767131,-0.016243396228348715
49,training,0.056515764,0.05172920599579811,0.09317091841251465,1.711852804383528,0.6525884156927185,-0.027097359317911893
50,training,0.07446275,0.03777389321476221,0.09317091841251465,1.7518558811340366,0.65139431489449,-0.03268290539954234
51,training,0.056371212,0.028513567987829447,0.09317091841251465,1.7919523764613348,0.6500001188649559,-0.03631748906592031
52,training,0.09729472,0.0395335266366601,0.048476601473361434,1.8517367852715887,0.6477075874550268,-0.039757956325390205
53,training,0.045575228,0.04525397811084986,0.048476601473361434,1.9116749358925127,0.6453986314148007,-0.03500192074517312
54,training,0.031875513,0.047816865146160126,0.048476601473361434,1.9515515841891897,0.6441194573324235,-0.02907190537304959
55,training,0.038087748,0.03960123611614108,0.048476601473361434,2.0115098609374433,0.6426750592565663,-0.019009297017364635
56,training,0.020550206,0.05533042922616005,0.015042466585403817,2.0513724685569437,0.6420465342182856,-0.012796925762490498
57,training,0.036228646,0.05275456979870796,0.015042466585403817,2.0914972797291593,0.641645433734045,-0.006736378148461249
58,training,0.02458225,0.05160904303193092,0.015042466585403817,2.1312890315255344,0.6414945481756349,-0.0013712102842892368
59,training,0.026092744,0.047598946839571,0.015042466585403817,2.191377909350734,0.6416202074426446,0.005528827056000291
60,training,0.03523268,0.039448130410164595,0.015042466585403817,2.2312065727595733,0.6418986885253009,0.00836630212748061
61,training,0.042292044,0.03734335443004966,0.015042466585403817,2.2712023811779973,0.6422582119231629,0.009313763034420877
