step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252416,0.26575699448585516,0.0,0.00018407891455886512,0.000545472068977315,0.0033196955084751796
2,training,0.06686027,0.19119301438331598,0.0,0.0063185205127957,0.0005718443636722102,0.0034825741437114434
3,training,0.043551534,0.1740456521511078,0.0,0.0405067616955439,0.0007520428765509798,0.012058204534483141
4,training,0.023103464,0.09554754197597504,0.0,0.08011882210168256,0.0017388765894150735,0.04118680039342787
5,training,0.009115431,0.05092933773994446,0.0,0.11971554884598336,0.004156419143566542,0.0837666238799325
6,training,0.0016014422,0.028104424476623535,0.0,0.1589474395775865,0.008420541559523565,0.13539303001230119
7,training,0.0024354015,0.16682951152324677,0.0,0.19793902330144952,0.014957421922796477,0.2004824775052822
8,training,0.017917842,0.3204435035586357,0.039332538576512095,0.23598883080549052,0.024130488026447957,0.27449425104648034
9,training,0.037797563,0.33972541987895966,0.039332538576512095,0.27339259653030473,0.03633372727681898,0.3579335182479808
10,training,0.04059927,0.31043969094753265,0.039332538576512095,0.30953547042024854,0.05165359136819536,0.4456126694553075
11,training,0.04076177,0.2939416319131851,0.06211664286497538,0.34395094953194943,0.07004977746301289,0.5355181411730305
12,training,0.04652527,0.3027877062559128,0.06211664286497538,0.3767388810891716,0.09147038636423237,0.6206162479226818
13,training,0.025851414,0.2088065892457962,0.06211664286497538,0.40783341350726043,0.11566164751386977,0.7009750087518954
14,training,0.009229442,0.30246905982494354,0.10274622226140258,0.4365664042012571,0.14180210749750682,0.7699698012856319
15,training,0.049162243,0.5266593843698502,0.10274622226140258,0.4644464351170133,0.1699311051019531,0.7902616641058693
16,training,0.018241042,0.4966522008180618,0.10274622226140258,0.49354300322530836,0.1982859430391665,0.7420539720894213
17,training,0.06334388,0.4001989811658859,0.10274622226140258,0.5242649872497933,0.22448310962430784,0.6692499706757608
18,training,0.037792414,0.35912200063467026,0.10274622226140258,0.5569284660721417,0.24858337844038408,0.605209951091714
19,training,0.041211486,0.32836921513080597,0.10274622226140258,0.5907555366553898,0.27066244134025996,0.5520056704052241
20,training,0.06603195,0.24949909001588821,0.16214091288999022,0.6256565355189248,0.2909311915570452,0.4999766825258765
21,training,0.07908991,0.2193821556866169,0.16214091288999022,0.6613841586170978,0.30941059913690644,0.457981501633427
22,training,0.030446995,0.19413307681679728,0.16214091288999022,0.6978754663883342,0.326624234277508,0.42373373859747326
23,training,0.051977776,0.1253916472196579,0.16214091288999022,0.7347804242908512,0.342537649157888,0.39097573190035595
24,training,0.043019775,0.10661383625119923,0.16214091288999022,0.7720352806434742,0.35730145131876695,0.36616001963686257
25,training,0.037240595,0.07309486530721186,0.16214091288999022,0.809815069747789,0.37136146094807376,0.34694356636891077
26,training,0.04541184,0.011678338050842278,0.15303126877816356,0.8474923378788685,0.3846206521454553,0.33001752880005325
27,training,0.04189656,0.008716098964214325,0.15303126877816356,0.8855363740088259,0.39733784455537735,0.316793426755726
28,training,0.04306098,0.053544413298368454,0.15303126877816356,0.923648824380859,0.4096752356541741,0.3090252465214325
29,training,0.067236915,0.0006984435021877358,0.15303126877816356,0.981094071646281,0.4272868165809915,0.2826212072266328
30,training,0.027570887,0.012214548885822296,0.15303126877816356,1.0196191880869658,0.43826240549178747,0.2737079433550868
31,training,0.02911907,0.016125742346048348,0.15303126877816356,1.0388511992817304,0.44361788529779395,0.269039582810739
32,training,0.042005524,0.03850777633488178,0.11001211875699694,1.0775012846245315,0.45406584334998085,0.25909723621166697
33,training,0.027600031,0.009176774881780148,0.11001211875699694,1.1356083256510212,0.46908043318022097,0.24584736572900392
34,training,0.030673929,0.048141868552193046,0.11001211875699694,1.1939159019025807,0.4833844562580532,0.23680287386310722
35,training,0.039202884,0.002709417836740613,0.11001211875699694,1.232772192436919,0.4926803077616325,0.23091619571976127
36,training,0.020063238,0.015936364885419607,0.11001211875699694,1.2717170603757357,0.5016863077978682,0.22529979327418545
37,training,0.03603861,0.027536209672689434,0.06760766076670319,1.3106463199918166,0.5105917004027107,0.22441385128852886
38,training,0.030229451,0.038658433593809605,0.06760766076670319,1.369186460737493,0.5238110351970873,0.21754640260421393
39,training,0.026151072,0.05574766546487808,0.06760766076670319,1.4475118636733482,0.5404693648940228,0.20046463266342618
40,training,0.013789354,0.07523469347506762,0.06760766076670319,1.4868601034494004,0.5481866108932061,0.18600634451576564
41,training,0.04416413,0.07134903548285365,0.06760766076670319,1.5262213622147875,0.5553112859066077,0.17113150328705998
42,training,0.013875188,0.08979007322341204,0.022031631874707185,1.5658390323816032,0.5618377037191987,0.15498268409555077
43,training,0.030504748,0.09654068388044836,0.022031631874707185,1.6052807176627155,0.5676675860792902,0.14234568303683875
44,training,0.03527726,0.11007433570921421,0.022031631874707185,1.6646364523800823,0.576325458228367,0.1478446194026822
45,training,0.00918425,0.10726974532008171,0.022031631874707185,1.7040425391976894,0.5822958151510141,0.1534562878402284
46,training,0.03559057,0.10989166889339685,0.022031631874707185,1.7237370284208766,0.5853781399088716,0.15715130708917346
47,training,0.019228654,0.0993605423718691,0.010533114185900996,1.7632292579335267,0.5917678049303583,0.16183795075527244
48,training,0.01081576,0.08479942381381989,0.010533114185900996,1.8026288575341565,0.5982004446959277,0.1616946577292146
49,training,0.0042840154,0.08218523487448692,0.010533114185900996,1.8420899247937277,0.6046244462629045,0.160059440254564
50,training,0.017370481,0.053494639694690704,0.010533114185900996,1.8816729692846068,0.6109094941496862,0.1532129859850529
51,training,0.008874291,0.018173076212406145,0.010533114185900996,1.9210893865374643,0.6168134074592644,0.14355923836382917
52,training,0.013770214,0.04912814497947693,0.010533114185900996,1.9608647807307578,0.6223307278462983,0.13156308944053943
53,training,0.027051406,0.06184546649456024,0.024806598420627306,2.000576796449308,0.6272947879395829,0.11739402082781006
54,training,0.014189543,0.11908974498510363,0.024806598420627306,2.040316796812517,0.6317594057653494,0.10675968478777068
55,training,0.014743141,0.11657434701919556,0.024806598420627306,2.08028539006567,0.6358732981187892,0.09848928856297558
56,training,0.023346882,0.13124693743884566,0.024806598420627306,2.119987901684368,0.6396718415216824,0.09295651225514028
57,training,0.01861503,0.14202261809259653,0.024806598420627306,2.1598781851543984,0.6433352408373088,0.09050067204734548
58,training,0.016521683,0.17010363005101684,0.024806598420627306,2.199721342480348,0.6469497685669601,0.09099432200536933
59,training,0.0206881,0.18926323391497135,0.024806598420627306,2.2393668561644446,0.65066040145921,0.09580258948257986
60,training,0.011262931,0.1841281894594431,0.046508566832527846,2.2792582863573587,0.6546011703915169,0.10128729807927102
61,training,0.005693751,0.19735131971538067,0.046508566832527846,2.3188552360820314,0.6587249001497049,0.10632755360982027
62,training,0.020489272,0.1919474806636572,0.046508566832527846,2.3585596487439733,0.6630847826580981,0.11257599726840548
63,training,0.0150857465,0.18936722353100777,0.046508566832527846,2.398334928461079,0.6676725974176516,0.11626688769200824
64,training,0.016731583,0.17404641211032865,0.046508566832527846,2.4378292628358182,0.6723520777147021,0.11851913172142615
65,training,0.009272688,0.16948113590478897,0.046508566832527846,2.477642285497194,0.6770741112604592,0.11659503374413505
66,training,0.0019893008,0.16508006304502487,0.09208986410431205,2.5173216143404895,0.6816084075536204,0.11062759975931939
67,training,0.006290653,0.14110800623893738,0.09208986410431205,2.5570757362777203,0.6858925080104771,0.10322246062641059
68,training,0.005492015,0.12445317953824997,0.09208986410431205,2.597090456303832,0.6898282512189421,0.09179597075240385
69,training,0.029990375,0.12245364487171173,0.09208986410431205,2.636803111009588,0.6932218077853858,0.0783683807871978
70,training,0.011107653,0.1032458171248436,0.09208986410431205,2.67687197420073,0.6960777797186005,0.0634809567599149
71,training,0.010533017,0.1113777831196785,0.11724369640928152,2.7169420897400265,0.698308239823515,0.047898120539022516
72,training,0.008214022,0.024868667125701904,0.11724369640928152,2.757065661777603,0.6997717966264914,0.019764790067555944
73,training,0.0072450894,0.09390979632735252,0.11724369640928152,2.7974249546310856,0.7000292743842897,-0.0031815529946798947
74,training,0.0034051347,0.1170473974198103,0.11724369640928152,2.8374756911420795,0.6995092902614343,-0.025275809857577526
75,training,0.010627783,0.10609645256772637,0.11724369640928152,2.8776651327874623,0.6979638814200372,-0.05201844622655588
76,training,0.011808627,0.08350283699110149,0.11724369640928152,2.9177380852326404,0.6954188939219973,-0.07359440663982665
77,training,0.004589557,0.03923513554036617,0.1132835226581126,2.9576226718982057,0.6920912580388295,-0.0919360386312116
78,training,0.0028205481,0.02391611598432064,0.1132835226581126,3.017474576300121,0.686112067187403,-0.10334744548620044
79,training,0.009389262,0.0030826267320662737,0.1132835226581126,3.057093709556349,0.6819619361944526,-0.1059747162212586
80,training,0.009436354,0.028515449725091457,0.1132835226581126,3.0969247727708327,0.6777131959317618,-0.10612412719323143
81,training,0.017803723,0.04046421870589256,0.1132835226581126,3.136635601228994,0.6735482254316735,-0.10341047668183999
82,training,0.018823873,0.030562997795641422,0.07687322460939333,3.156386757422514,0.6715038102630175,-0.10304604175952847
83,training,0.02030759,0.007807590067386627,0.07687322460939333,3.21610011029707,0.665434663910112,-0.09885023044273793
84,training,0.006908421,0.05584378354251385,0.07687322460939333,3.2557165294327874,0.6616071948328479,-0.09485664155400922
85,training,0.023368485,0.048045696690678596,0.07687322460939333,3.275601859848047,0.6597299226227281,-0.09359917584624243
86,training,0.007783795,0.013129355385899544,0.07687322460939333,3.3353638135236743,0.6542794812772291,-0.08751414238818944
87,training,0.005353337,0.02645476843463257,0.07687322460939333,3.375015767052927,0.6508579170367947,-0.08490262067948644
