step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228451,0.24552412331104279,0.0,0.00018236307076194974,0.0005404490691964999,0.003288488035672523
2,training,0.06057275,0.18250486999750143,0.0,0.004320695532766346,0.0005599798072015829,0.003409158368906196
3,training,0.043728143,0.18090862035751337,0.0,0.036244908675259785,0.0007083890351713392,0.009978276276114707
4,training,0.019836929,0.07605904340744024,0.0,0.07594437839211611,0.0016452988623763022,0.041063908694510154
5,training,0.010336312,0.07782900333404547,0.0,0.11549117675027913,0.0040830338803990816,0.0852612443252456
6,training,0.0011977175,0.0586986243724823,0.0,0.1742245355765473,0.011509924933951301,0.1704384882595402
7,training,0.0054329596,0.15804383158683777,0.0,0.1935988476189945,0.015179250931216397,0.20565556891647577
8,training,0.018795602,0.29581162333488464,0.02742598923168669,0.2315207653832402,0.024612949619842533,0.28357300086073417
9,training,0.03867057,0.32668517529964447,0.02742598923168669,0.2687543558818376,0.0371697406799208,0.3682871711187761
10,training,0.042242568,0.30558665096759796,0.02742598923168669,0.3047970939029691,0.05289104339774776,0.4551648279257208
11,training,0.054458894,0.2885413318872452,0.06015378366429817,0.3390172375397216,0.07155282850699657,0.5422421730178205
12,training,0.044378404,0.2911471575498581,0.06015378366429817,0.3717528311961794,0.09315870193506219,0.6230283426027803
13,training,0.035496827,0.20114153251051903,0.06015378366429817,0.4178041048094841,0.13034350186841104,0.7338905430095778
14,training,0.038071103,0.10185537859797478,0.09539006397775202,0.44586824653998447,0.1572650585074263,0.7893987646909445
15,training,0.016762927,0.3040410950779915,0.09539006397775202,0.4595624506211773,0.17134677267322446,0.8064695490660726
16,training,0.06421843,0.3115401826798916,0.09539006397775202,0.48680689095641216,0.2004865258275272,0.8277104181032776
17,training,0.040210746,0.3011165373027325,0.09539006397775202,0.5267688172324043,0.24483631614284146,0.8462775611664458
18,training,0.020830642,0.2948224581778049,0.09539006397775202,0.5530917153513053,0.27488196176504215,0.8551692785574976
19,training,0.04939349,0.32177572883665556,0.09539006397775202,0.5661753174901297,0.2899709045959463,0.8576502425228556
20,training,0.034946956,0.30904689989984035,0.09539006397775202,0.592143935170402,0.32019823754962906,0.8640584527421835
21,training,0.045910727,0.31993331387639046,0.201441168563375,0.6180006058689554,0.35066228489424317,0.8688917627436763
22,training,0.059100688,0.5358322253450752,0.201441168563375,0.6436923658071138,0.38066009975164894,0.8417756954472495
23,training,0.06646967,0.4847870247904212,0.201441168563375,0.6717503362511401,0.40983475758904425,0.7564617995735128
24,training,0.079606175,0.39446105272509163,0.201441168563375,0.7028846939328107,0.43639665757201584,0.6579316136622076
25,training,0.06561457,0.34221399296075106,0.25365995721468837,0.7358889578259186,0.459585199186363,0.5691902004452672
26,training,0.058433395,0.253594793844968,0.25365995721468837,0.7708185160528179,0.48013876934273303,0.4967873061487458
27,training,0.059315596,0.22440346563234922,0.25365995721468837,0.8070697718132599,0.4983130722350185,0.436219865004758
28,training,0.057743438,0.25206553749740124,0.2784407110931694,0.8441799415101083,0.5145196375734404,0.38798651956846675
29,training,0.061317857,0.17678614845499394,0.2784407110931694,0.8817108397685236,0.5288515592222819,0.3398252712443054
30,training,0.043363754,0.15159087255597115,0.2784407110931694,0.9201762542762999,0.541417849340948,0.2950486563313475
31,training,0.03636439,0.1374272350221872,0.2784407110931694,0.9588073132198552,0.552457186070499,0.26227868261606985
32,training,0.07065517,0.12611174583435059,0.2784407110931694,1.0174289946616892,0.5667271005325086,0.21598406897893235
33,training,0.07011463,0.10375086963176727,0.2784407110931694,1.0567631645297206,0.574804417815188,0.18882594195388425
34,training,0.040351585,0.08927054144442081,0.22724579068952752,1.0963087962783884,0.581812445622468,0.16199183353620647
35,training,0.028248487,0.07063069567084312,0.22724579068952752,1.1358991519881396,0.5878198956380007,0.13995323996747638
36,training,0.03603866,0.029973402619361877,0.22724579068952752,1.1957511658730542,0.5953189409096046,0.10905502547667789
37,training,0.05044552,0.022021010518074036,0.22724579068952752,1.2355553526794079,0.59933449759575,0.0934170544147951
38,training,0.041257083,0.01816788874566555,0.22724579068952752,1.2755785634818861,0.602820853421041,0.0804687959115818
39,training,0.034520395,0.012242866680026054,0.1682768088152657,1.3353893126699612,0.6071510652140856,0.06558076651775788
40,training,0.051197343,0.039257727563381195,0.1682768088152657,1.3954077170309567,0.6110144139989505,0.06416064268890062
41,training,0.0696364,0.03559335693717003,0.1682768088152657,1.4350483263264264,0.6134990248239979,0.0583790630384692
42,training,0.031051822,0.01995353028178215,0.1682768088152657,1.4952134226419038,0.6165345330169743,0.04217424977829334
43,training,0.042694703,9.812042117118835e-05,0.1682768088152657,1.5351260300470093,0.6180237642016885,0.032985740812840246
44,training,0.02965127,0.011449893936514851,0.07117006956767173,1.5952753194712335,0.619685030379398,0.022344789091457762
45,training,0.042527474,0.01798236556351185,0.07117006956767173,1.6352109597392726,0.6204559198627483,0.016919519008792048
46,training,0.04591538,0.002224251627922058,0.07117006956767173,1.6752017843635956,0.6210473247333951,0.012772183736421337
47,training,0.028653502,0.04346036911010742,0.07117006956767173,1.71536791328099,0.6214731767056307,0.009705227493389292
48,training,0.035495237,0.07087595202028751,0.01975650391816731,1.7552095617856602,0.6217935926956029,0.005338097176151944
49,training,0.047515158,0.058550598099827766,0.01975650391816731,1.7752463497300432,0.6218724665840757,0.00041184094513874365
50,training,0.03469099,0.023841177113354206,0.01975650391816731,1.8352313365216784,0.6221572617409372,0.010827722593775506
51,training,0.0071209315,0.007458128035068512,0.01975650391816731,1.875130042555303,0.6226639405609883,0.01333648007055928
52,training,0.014316121,0.036064159125089645,0.01975650391816731,1.935249248076534,0.6233554201976584,0.008503121713342896
53,training,0.01353305,0.017481697723269463,0.01975650391816731,1.9751973905216604,0.6235204980618103,-0.0012091474757898561
54,training,0.01923341,0.030228550545871258,0.010620333948540084,2.015415497102233,0.6232946608541841,-0.00935331893695799
55,training,0.015197903,0.04933250229805708,0.010620333948540084,2.0352289754621937,0.6230915288529516,-0.010859729198827082
56,training,0.014655209,0.030455569736659527,0.010620333948540084,2.0950738969899074,0.6226809874072113,-0.0016827061272834073
57,training,0.024745494,0.008453134447336197,0.010620333948540084,2.1550216221471503,0.6228341746668782,0.005817371055092093
58,training,0.002195809,0.013405187055468563,0.010620333948540084,2.1950107491997266,0.6230684984794221,0.004676541757745334
59,training,0.0149284685,0.035194212570786476,0.020088744233859153,2.2351697875231333,0.6231620822700286,8.682374694734448e-05
60,training,0.004753909,0.03559753950685263,0.020088744233859153,2.2750593315802403,0.6230033562661927,-0.009306741040636885
61,training,0.005621851,0.0053185406140983105,0.020088744233859153,2.335284295797047,0.6219972349396322,-0.022934650414092667
62,training,0.004262928,0.03609255701303482,0.020088744233859153,2.3751430708961276,0.6209633303741673,-0.02713011690324323
63,training,0.0089466,0.014426587149500847,0.020088744233859153,2.435240558183006,0.6195189787039759,-0.018760321846256863
64,training,0.003929112,0.01485468028113246,0.018389288324616414,2.475018443809006,0.6188990323813512,-0.01330635722495092
65,training,0.0013561381,0.04284212738275528,0.018389288324616414,2.494996778840927,0.6186564390948368,-0.01201931271053356
66,training,0.023408938,0.03460918739438057,0.018389288324616414,2.5551507030405416,0.6176935148391861,-0.021218936716799315
67,training,0.014163341,0.021408427506685257,0.018389288324616414,2.5950637202621096,0.6166962630845665,-0.028535624629346893
68,training,0.000747914,0.0210387627594173,0.018389288324616414,2.6750538170788802,0.6139994861307908,-0.03843456236568317
69,training,0.014929872,0.00806907843798399,0.017332214788421677,2.715021299141637,0.6124292127252278,-0.039692627078649706
70,training,0.0032873983,0.004614656791090969,0.017332214788421677,2.7550664352211283,0.6108670457223775,-0.037648078373195976
71,training,0.00076472736,0.003975816071033478,0.017332214788421677,2.794826105903352,0.6094258640402042,-0.034810377390625105
72,training,0.0017196584,0.005165548995137215,0.017332214788421677,2.8348897642227877,0.6081065709431913,-0.03049975933039735
