step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.019402556,0.10479502379894257,0.0,11.499800247081609,12.999408637166981,-3.137990484351825
2,training,0.011283273,0.06865841895341873,0.0,11.364628024120645,12.999791367287585,3.1279441853904335
3,training,0.0038176975,0.0032011792063713213,0.0,11.244454474118843,13.003534397759685,3.089564225166479
4,training,0.012093103,0.2418205440044403,0.0861308539313058,11.144411818385741,13.011137379549801,3.0384942200429563
5,training,0.035443135,0.29306942224502563,0.0861308539313058,11.025167451159167,13.028147595905029,2.9596186231035637
6,training,0.040417317,0.286181315779686,0.20152285678174658,10.888344810292828,13.060419072095796,2.8599448226433846
7,training,0.035765536,0.2393098920583725,0.20152285678174658,10.772169594255008,13.090583181297148,2.9313638922180263
8,training,0.07060948,0.5343924760818481,0.3145900632714592,10.65462522281471,13.11081236646382,3.0083572379119574
9,training,0.08505909,0.4115376584231853,0.3145900632714592,10.537402192644583,13.114439685967909,-3.041318466026259
10,training,0.048304163,0.25724717602133756,0.37740632299069105,10.422833581553759,13.088831405676807,-2.80999919588361
11,training,0.036326077,0.0014637410640716553,0.3694793230836459,10.349779402282248,13.05871290443841,-2.6980866901461336
